trait_category,OriginalTraitName,OriginalTraitDef,OriginalTraitUnits,n_distinct_units,include,inclusion_basis,audit_status,audit_note
Development time,Development time,Mean time from engorgement to moulting,days,1,TRUE,exact target name,provisional; expert review pending,Name family and definitions manually inspected; name-matched curation inconsistencies retained.
Development time,development duration,period at 4th instar,days,1,TRUE,explicit name variant or semantic synonym,provisional; expert review pending,Name family and definitions manually inspected; name-matched curation inconsistencies retained.
Development time,development time,duration of life stage,days,1,TRUE,exact target name,provisional; expert review pending,Name family and definitions manually inspected; name-matched curation inconsistencies retained.
Development time,development time,individual-level duration of life stage,days,1,TRUE,exact target name,provisional; expert review pending,Name family and definitions manually inspected; name-matched curation inconsistencies retained.
Development time,development time,mean duration for 50 percent of eggs to hatch,days,1,TRUE,exact target name,provisional; expert review pending,Name family and definitions manually inspected; name-matched curation inconsistencies retained.
Development time,development time,mean duration for egg development,days,1,TRUE,exact target name,provisional; expert review pending,Name family and definitions manually inspected; name-matched curation inconsistencies retained.
Development time,development time,mean duration from when eggs were deposited to hatch,days,1,TRUE,exact target name,provisional; expert review pending,Name family and definitions manually inspected; name-matched curation inconsistencies retained.
Development time,development time,mean duration of attachment period,days,1,TRUE,exact target name,provisional; expert review pending,Name family and definitions manually inspected; name-matched curation inconsistencies retained.
Development time,development time,mean duration of incubation period,days,1,TRUE,exact target name,provisional; expert review pending,Name family and definitions manually inspected; name-matched curation inconsistencies retained.
Development time,development time,mean duration of juvenile stages and from adult emergence to the onset of reproduction,days,1,TRUE,exact target name,provisional; expert review pending,Name family and definitions manually inspected; name-matched curation inconsistencies retained.
Development time,development time,mean duration of larval attachment developmental phase,days,1,TRUE,exact target name,provisional; expert review pending,Name family and definitions manually inspected; name-matched curation inconsistencies retained.
Development time,development time,mean duration of life cycle,days,1,TRUE,exact target name,provisional; expert review pending,Name family and definitions manually inspected; name-matched curation inconsistencies retained.
Development time,development time,mean duration of life cycle (egg-to-egg),days,1,TRUE,exact target name,provisional; expert review pending,Name family and definitions manually inspected; name-matched curation inconsistencies retained.
Development time,development time,mean duration of life stage,0 = did not survive life stage; 1 = survived life stage; days; days-1; hours; percent; progeny individual-1; progeny individual-1 day-1,8,TRUE,exact target name,provisional; expert review pending,Name family and definitions manually inspected; name-matched curation inconsistencies retained.
Development time,development time,mean duration of life stage (across all humidity levels),days,1,TRUE,exact target name,provisional; expert review pending,Name family and definitions manually inspected; name-matched curation inconsistencies retained.
Development time,development time,mean duration of life stage as a function of rearing food type (secondstressor) and temperature,days,1,TRUE,exact target name,provisional; expert review pending,Name family and definitions manually inspected; name-matched curation inconsistencies retained.
Development time,development time,mean duration of premoulting period,days,1,TRUE,exact target name,provisional; expert review pending,Name family and definitions manually inspected; name-matched curation inconsistencies retained.
Development time,development time,mean duration period from aphid birth to its first reproduction,days,1,TRUE,exact target name,provisional; expert review pending,Name family and definitions manually inspected; name-matched curation inconsistencies retained.
Development time,development time,mean nymphal development time,days,1,TRUE,exact target name,provisional; expert review pending,Name family and definitions manually inspected; name-matched curation inconsistencies retained.
Development time,development time,mean time to complete nymphal devlopment,days,1,TRUE,exact target name,provisional; expert review pending,Name family and definitions manually inspected; name-matched curation inconsistencies retained.
Development time,development time,median duration for egg development,days,1,TRUE,exact target name,provisional; expert review pending,Name family and definitions manually inspected; name-matched curation inconsistencies retained.
Development time,development time,median duration of life stage,days,1,TRUE,exact target name,provisional; expert review pending,Name family and definitions manually inspected; name-matched curation inconsistencies retained.
Development time,development time,nymphal development time,days,1,TRUE,exact target name,provisional; expert review pending,Name family and definitions manually inspected; name-matched curation inconsistencies retained.
Development time,developmental time,mean duration of life stage,days,1,TRUE,explicit name variant or semantic synonym,provisional; expert review pending,Name family and definitions manually inspected; name-matched curation inconsistencies retained.
Development time,developmental time,number of days at each developmental stage,days,1,TRUE,explicit name variant or semantic synonym,provisional; expert review pending,Name family and definitions manually inspected; name-matched curation inconsistencies retained.
Development rate,Development Rate,Percent of emerging females who develop on day X after attatchment (premolt period),percent,1,TRUE,exact target name,provisional; expert review pending,Name family and definitions manually inspected; name-matched curation inconsistencies retained.
Development rate,Development Rate,Percent of emerging males who develop on day X after attatchment (premolt period),percent,1,TRUE,exact target name,provisional; expert review pending,Name family and definitions manually inspected; name-matched curation inconsistencies retained.
Development rate,Development Rate,percent of immature stages remaining x days after attatchment,percent,1,TRUE,exact target name,provisional; expert review pending,Name family and definitions manually inspected; name-matched curation inconsistencies retained.
Development rate,Development Rate (Egg),1 / time for egg incubation across const temps,days-1,1,TRUE,explicit name variant or semantic synonym,provisional; expert review pending,Name family and definitions manually inspected; name-matched curation inconsistencies retained.
Development rate,Development Rate (Larva),1 / development time of Engorged Larva,days-1,1,TRUE,explicit name variant or semantic synonym,provisional; expert review pending,Name family and definitions manually inspected; name-matched curation inconsistencies retained.
Development rate,Development Rate (Nymph),1 / development time of Engorged Nymph,days-1,1,TRUE,explicit name variant or semantic synonym,provisional; expert review pending,Name family and definitions manually inspected; name-matched curation inconsistencies retained.
Development rate,development rate,individual-level rate of life stage completion,days; days-1,2,TRUE,exact target name,provisional; expert review pending,Name family and definitions manually inspected; name-matched curation inconsistencies retained.
Development rate,development rate,inverse of the mean duration of life stage,days-1,1,TRUE,exact target name,provisional; expert review pending,Name family and definitions manually inspected; name-matched curation inconsistencies retained.
Development rate,development rate,mean development rate per day,percent day-1,1,TRUE,exact target name,provisional; expert review pending,Name family and definitions manually inspected; name-matched curation inconsistencies retained.
Development rate,development rate,mean duration of life stage,days; days-1,2,TRUE,exact target name,provisional; expert review pending,Name family and definitions manually inspected; name-matched curation inconsistencies retained.
Development rate,development rate,mean rate of life stage completion,days-1,1,TRUE,exact target name,provisional; expert review pending,Name family and definitions manually inspected; name-matched curation inconsistencies retained.
Development rate,development rate,rate of life stage completion,days-1,1,TRUE,exact target name,provisional; expert review pending,Name family and definitions manually inspected; name-matched curation inconsistencies retained.
Development rate,development rate,replicate-level mean rate of life stage completion,days-1,1,TRUE,exact target name,provisional; expert review pending,Name family and definitions manually inspected; name-matched curation inconsistencies retained.
Longevity / lifespan,Longevity,"sum of all life stage periods in study (pre-reproductive, reproductive, and post-reproductive)",days,1,TRUE,exact target name,provisional; expert review pending,Name family and definitions manually inspected; name-matched curation inconsistencies retained.
Longevity / lifespan,adult longevity,lifespan of adult aphids,days,1,TRUE,explicit name variant or semantic synonym,provisional; expert review pending,Name family and definitions manually inspected; name-matched curation inconsistencies retained.
Longevity / lifespan,adult longevity,lifespan over time,days,1,TRUE,explicit name variant or semantic synonym,provisional; expert review pending,Name family and definitions manually inspected; name-matched curation inconsistencies retained.
Longevity / lifespan,adult longevity,period from adult emergence until death,days,1,TRUE,explicit name variant or semantic synonym,provisional; expert review pending,Name family and definitions manually inspected; name-matched curation inconsistencies retained.
Longevity / lifespan,aphid longevity,lifespan of aphids,days,1,TRUE,explicit name variant or semantic synonym,provisional; expert review pending,Name family and definitions manually inspected; name-matched curation inconsistencies retained.
Longevity / lifespan,juvenile life span,individual-level duration from hatching to death or adult eclosion,days,1,TRUE,explicit name variant or semantic synonym,provisional; expert review pending,Name family and definitions manually inspected; name-matched curation inconsistencies retained.
Longevity / lifespan,lifespan,mean duration of entire life,days,1,TRUE,explicit name variant or semantic synonym,provisional; expert review pending,Name family and definitions manually inspected; name-matched curation inconsistencies retained.
Longevity / lifespan,lifespan,mean duration of entrie lifespan (from egg to adult death),days,1,TRUE,explicit name variant or semantic synonym,provisional; expert review pending,Name family and definitions manually inspected; name-matched curation inconsistencies retained.
Longevity / lifespan,longevity,adult aphid survival,days,1,TRUE,exact target name,provisional; expert review pending,Name family and definitions manually inspected; name-matched curation inconsistencies retained.
Longevity / lifespan,longevity,aphid lifespan,days,1,TRUE,exact target name,provisional; expert review pending,Name family and definitions manually inspected; name-matched curation inconsistencies retained.
Longevity / lifespan,longevity,duration for 50% mortality,days,1,TRUE,exact target name,provisional; expert review pending,Name family and definitions manually inspected; name-matched curation inconsistencies retained.
Longevity / lifespan,longevity,individual-level duration of adult female life stage,days,1,TRUE,exact target name,provisional; expert review pending,Name family and definitions manually inspected; name-matched curation inconsistencies retained.
Longevity / lifespan,longevity,individual-level duration of life stage,days,1,TRUE,exact target name,provisional; expert review pending,Name family and definitions manually inspected; name-matched curation inconsistencies retained.
Longevity / lifespan,longevity,lifespan of aphids,days,1,TRUE,exact target name,provisional; expert review pending,Name family and definitions manually inspected; name-matched curation inconsistencies retained.
Longevity / lifespan,longevity,mean duration of adult lifespan as a function of temperature and the number of instars completed prior to reproductive adulthood (secondstressor),days,1,TRUE,exact target name,provisional; expert review pending,Name family and definitions manually inspected; name-matched curation inconsistencies retained.
Longevity / lifespan,longevity,mean duration of life,days,1,TRUE,exact target name,provisional; expert review pending,Name family and definitions manually inspected; name-matched curation inconsistencies retained.
Longevity / lifespan,longevity,mean duration of life stage,days; hours; mg; progeny individual-1 day-1,4,TRUE,exact target name,provisional; expert review pending,Name family and definitions manually inspected; name-matched curation inconsistencies retained.
Longevity / lifespan,longevity,mean duration of life stage as a function of body size,days,1,TRUE,exact target name,provisional; expert review pending,Name family and definitions manually inspected; name-matched curation inconsistencies retained.
Longevity / lifespan,longevity,mean duration of life stage as a function of rearing food type (secondstressor) and temperature,days,1,TRUE,exact target name,provisional; expert review pending,Name family and definitions manually inspected; name-matched curation inconsistencies retained.
Longevity / lifespan,longevity,mean rate of life stage completion,days,1,TRUE,exact target name,provisional; expert review pending,Name family and definitions manually inspected; name-matched curation inconsistencies retained.
Longevity / lifespan,longevity,median adult lifespan,days,1,TRUE,exact target name,provisional; expert review pending,Name family and definitions manually inspected; name-matched curation inconsistencies retained.
Longevity / lifespan,longevity,median duration of life stage,days,1,TRUE,exact target name,provisional; expert review pending,Name family and definitions manually inspected; name-matched curation inconsistencies retained.
Longevity / lifespan,longevity,percent not surviving life stage,days,1,TRUE,exact target name,provisional; expert review pending,Name family and definitions manually inspected; name-matched curation inconsistencies retained.
Longevity / lifespan,longevity (alate),mean duration of life stage,days,1,TRUE,explicit name variant or semantic synonym,provisional; expert review pending,Name family and definitions manually inspected; name-matched curation inconsistencies retained.
Longevity / lifespan,longevity (apterous),mean duration of life stage,days,1,TRUE,explicit name variant or semantic synonym,provisional; expert review pending,Name family and definitions manually inspected; name-matched curation inconsistencies retained.
Longevity / lifespan,survival time,average number of days unfed nymphs survived,days; percent,2,TRUE,explicit name variant or semantic synonym,provisional; expert review pending,Name family and definitions manually inspected; name-matched curation inconsistencies retained.
