OriginalTraitName,OriginalTraitDef,OriginalTraitUnit,ConOrder,ConFamily,ConStage,text,version,cluster_id
Resource Consumption Rate,The number of resource consumed per number of consumers per time,individual / (1 individual * 24 hour),Diptera,Chaoboridae,instar 2,Trait: Resource Consumption Rate. Definition: The number of resource consumed per number of consumers per time. Unit: individual / (1 individual * 24 hour). Organism order: Diptera. Organism family: Chaoboridae.,v5,12
Resource Mass Consumption Rate,The mass of resource consumed by consumers per time,microgram (body mass - dry) / (1 individual * 1 minute),Perciformes,Percidae,larvae,Trait: Resource Mass Consumption Rate. Definition: The mass of resource consumed by consumers per time. Unit: microgram (body mass - dry) / (1 individual * 1 minute). Organism order: Perciformes. Organism family: Percidae.,v5,12
Mass-Specific Mass Consumption Rate,The mass of resource consumed by mass of consumers per time,milligram (body mass - wet) / (1 gram (body mass - wet) * 24 hour),Cladocera,Daphniidae,adult,Trait: Mass-Specific Mass Consumption Rate. Definition: The mass of resource consumed by mass of consumers per time. Unit: milligram (body mass - wet) / (1 gram (body mass - wet) * 24 hour). Organism order: Cladocera. Organism family: Daphniidae.,v5,12
Voluntary Body Velocity,Velocity of the whole organism with no apparent stimulus,millimeter / (1 individual * 1 second),Cladocera,Polyphemidae,adult,Trait: Voluntary Body Velocity. Definition: Velocity of the whole organism with no apparent stimulus. Unit: millimeter / (1 individual * 1 second). Organism order: Cladocera. Organism family: Polyphemidae.,v5,-1
Forward Attack Distance,Distance to a resource when a consumer initiates an attack when resource positioned directly in front of the forward body axis of the consumer,centimeter / 1 individual,Salmoniformes,Salmonidae,adult,Trait: Forward Attack Distance. Definition: Distance to a resource when a consumer initiates an attack when resource positioned directly in front of the forward body axis of the consumer. Unit: centimeter / 1 individual. Organism order: Salmoniformes. Organism family: Salmonidae.,v5,-1
Foraging Velocity,Velocity of the whole animal when foraging for food,centimeter / (1 individual * 1 second),Perciformes,Percidae,adult,Trait: Foraging Velocity. Definition: Velocity of the whole animal when foraging for food. Unit: centimeter / (1 individual * 1 second). Organism order: Perciformes. Organism family: Percidae.,v5,-1
Resource Reaction Distance,"Distance from resource to consumer when resource apparently first reacts to approaching consumer (i.e., stops and/or moves away)",centimeter / 1 individual,Perciformes,Centrarchidae,adult,"Trait: Resource Reaction Distance. Definition: Distance from resource to consumer when resource apparently first reacts to approaching consumer (i.e., stops and/or moves away). Unit: centimeter / 1 individual. Organism order: Perciformes. Organism family: Centrarchidae.",v5,-1
Mass-Specific Consumption Rate,The number of resource consumed per consumer mass per time,individual / (100 gram (body mass - wet) * 7 day),Perciformes,Centrarchidae,adult,Trait: Mass-Specific Consumption Rate. Definition: The number of resource consumed per consumer mass per time. Unit: individual / (100 gram (body mass - wet) * 7 day). Organism order: Perciformes. Organism family: Centrarchidae.,v5,12
Attack Number Rate,Number of attacks per consumer number per time,event / (3 individual * 30 minute),Perciformes,Percidae,juvenile,Trait: Attack Number Rate. Definition: Number of attacks per consumer number per time. Unit: event / (3 individual * 30 minute). Organism order: Perciformes. Organism family: Percidae.,v5,-1
Strike Rate,Rate at which a consumer strikes at resource per consumer individual per time,event / (1 individual * 1 hour),Decapoda,Portunidae,adult,Trait: Strike Rate. Definition: Rate at which a consumer strikes at resource per consumer individual per time. Unit: event / (1 individual * 1 hour). Organism order: Decapoda. Organism family: Portunidae.,v5,10
Subjugation Persistence Duration,Time consumer spends subjugating each resource until it gives up and rejects it without consumption (occurs when resource subjugation is not successful),second,Decapoda,Portunidae,adult,Trait: Subjugation Persistence Duration. Definition: Time consumer spends subjugating each resource until it gives up and rejects it without consumption (occurs when resource subjugation is not successful). Unit: second. Organism order: Decapoda. Organism family: Portunidae.,v5,12
Ingestion Duration,Time spent by a consumer ingesting each resource,second / 1 individual,Decapoda,Portunidae,adult,Trait: Ingestion Duration. Definition: Time spent by a consumer ingesting each resource. Unit: second / 1 individual. Organism order: Decapoda. Organism family: Portunidae.,v5,12
Subjugation Duration,Time taken by a consumer to subjugate its resource measured as time per resource per consumer,second / 1 individual,Decapoda,Portunidae,adult,Trait: Subjugation Duration. Definition: Time taken by a consumer to subjugate its resource measured as time per resource per consumer. Unit: second / 1 individual. Organism order: Decapoda. Organism family: Portunidae.,v5,12
Filtration Rate,"Volumetric flow rate of water through a filter feeding consumer (flow rate measured directly, not by clearance of material from the fluid)",liter / (1 individual * 1 hour),Mytiloida,Mytilidae,adult,"Trait: Filtration Rate. Definition: Volumetric flow rate of water through a filter feeding consumer (flow rate measured directly, not by clearance of material from the fluid). Unit: liter / (1 individual * 1 hour). Organism order: Mytiloida. Organism family: Mytilidae.",v5,-1
Mass-Specific Filtration Rate,"Mass-Specific volumetric flow rate of water through a filter feeding consumer (flow rate measured directly, not by clearance of material from the fluid)",liter / (1 gram (body mass - wet) * 1 hour),Myoida,Hiatellidae,adult,"Trait: Mass-Specific Filtration Rate. Definition: Mass-Specific volumetric flow rate of water through a filter feeding consumer (flow rate measured directly, not by clearance of material from the fluid). Unit: liter / (1 gram (body mass - wet) * 1 hour). Organism order: Myoida. Organism family: Hiatellidae.",v5,-1
Handling Duration,"Time taken by a consumer to pursue, subjugate and ingest resource",hour / 1 individual,Decapoda,Crangonidae,adult,"Trait: Handling Duration. Definition: Time taken by a consumer to pursue, subjugate and ingest resource. Unit: hour / 1 individual. Organism order: Decapoda. Organism family: Crangonidae.",v5,12
Subjugation-through-Consumption Duration,Time taken by a consumer to subdue each resource (expressed as time per resource individual per consumer individual),second / (1 individual * 1 individual),Decapoda,Portunidae,adult,Trait: Subjugation-through-Consumption Duration. Definition: Time taken by a consumer to subdue each resource (expressed as time per resource individual per consumer individual). Unit: second / (1 individual * 1 individual). Organism order: Decapoda. Organism family: Portunidae.,v5,12
Avoidance Body Velocity,Velocity of the body during movement of a resource in avoidance of a weak stimulus (differs from Escape Burst Body Velocity because the stimulus is not an immediate threat),micrometer / (1 individual * 1 second),NA,NA,NA,Trait: Avoidance Body Velocity. Definition: Velocity of the body during movement of a resource in avoidance of a weak stimulus (differs from Escape Burst Body Velocity because the stimulus is not an immediate threat). Unit: micrometer / (1 individual * 1 second).,v5,7
Consumption Time Per Consumer Resource,Time taken by consumer to consume each resource density,second / 1 individual,Decapoda,Portunidae,adult,Trait: Consumption Time Per Consumer Resource. Definition: Time taken by consumer to consume each resource density. Unit: second / 1 individual. Organism order: Decapoda. Organism family: Portunidae.,v5,12
Strike Distance,Distance between a consumer and resource when consumer initiates a strike per consumer,centimeter / 1 individual,Scorpaeniformes,Cottidae,adult,Trait: Strike Distance. Definition: Distance between a consumer and resource when consumer initiates a strike per consumer. Unit: centimeter / 1 individual. Organism order: Scorpaeniformes. Organism family: Cottidae.,v5,10
Host-Per-Parasitoid Parasitization Rate,Number of hosts parasitized per parasitoid per time,individual / (1 individual * 24 hour),Hymenoptera,Braconidae,adult,Trait: Host-Per-Parasitoid Parasitization Rate. Definition: Number of hosts parasitized per parasitoid per time. Unit: individual / (1 individual * 24 hour). Organism order: Hymenoptera. Organism family: Braconidae.,v5,0
Escape Body Velocity,Velocity of the whole body during escape burst movement of a resource,centimeter / (1 individual * 1 second),NA,NA,NA,Trait: Escape Body Velocity. Definition: Velocity of the whole body during escape burst movement of a resource. Unit: centimeter / (1 individual * 1 second).,v5,7
Foraging Body Undulation Rate,Rate of undulating body strokes used for feeding,event / (1 individual * 1 minute),Aciculata,Nereididae,adult,Trait: Foraging Body Undulation Rate. Definition: Rate of undulating body strokes used for feeding. Unit: event / (1 individual * 1 minute). Organism order: Aciculata. Organism family: Nereididae.,v5,-1
