column,coverage_pct,clustering_use
OriginalID,100%,
FinalID,100%,
CitationID,100%,
SubmittedBy,100%,
OriginalTraitName,100%,V1-V6 (core trait semantics)
Citation,100%,
Consumer,100%,
OriginalTraitValue,99.9%,
OriginalTraitUnit,99.6%,V3-V6 (core trait semantics)
Habitat,99.3%,
ConIDLevel,95.9%,
ConKingdom,95.9%,
ConClass,95.8%,
ConGenus,95.8%,
ConOrder,95.8%,V4-V6 (taxonomic context)
ConFamily,95.7%,V5-V6 (taxonomic context)
ConPhylum,94.4%,
ConSpecies,93.6%,
Latitude,93%,
Longitude,93%,
ConTemp,92.7%,
ConTempUnit,92.7%,
StandardisedTraitValue,88.3%,
StandardisedTraitUnit,88.3%,
Labfield,86.8%,
Location,85.1%,
StandardisedTraitName,83.4%,
FigureTable,80%,
ConTempMethod,79.8%,
Published,79.6%,
TaxaPresent,69.6%,
ConCommon,67.5%,
DOI,63.3%,
OriginalTraitDef,58.3%,V2-V6 (core trait semantics)
Replicates,56.6%,
ConStage,56.6%,"V6 (life stage) - coverage 56.6%, optional"
ConDenUnit,53.7%,
ResSizeType,52.6%,
Resource,51.3%,
ResRepUnit,49.5%,
Climate,49.2%,
AmbientTempMethod,46.8%,
ConThermy,46.6%,
AmbientTemp,45.9%,
AmbientTempUnit,45.9%,
ConSizeUnit,44%,
ConSize,44%,
LocationType,43.7%,
StandardisedTraitDef,42.9%,
TraitMotivation,42.9%,
TraitOrg,42.9%,
TraitRelevantTaxa,42.9%,
ConType,42.9%,
PhysicalProcess,42.9%,
PhysicalProcess_1,42.9%,
PhysicalProcess_2,42.9%,
TotalObsTimeUnit,42.8%,
ResCommon,40.7%,
ArenaUnit,40.4%,
ArenaValue,40.4%,
ConTrophic,38.9%,
ArenaUnitSI,38.4%,
ArenaValueSI,38.3%,
ResDenUnit,38.3%,
ConSizeSI,38%,
ConSizeUnitSI,38%,
ConMassValueSI,38%,
ConMassUnitSI,38%,
ConAcc,38%,
ConDenValue,37.5%,
ConSizeType,36.7%,
ResDenValue,36.6%,
ResThermy,35.1%,
ResTemp,35.1%,
ResTempUnit,35.1%,
ResTempMethod,35.1%,
ResIDLevel,34.4%,
ResKingdom,34.4%,
ResPhylum,33.4%,
ResClass,33.3%,
ResType,32.6%,
ResOrder,31.6%,
ResGenus,31.4%,
ResFamily,31.4%,
Notes,31%,
ResSize,28.9%,
ResSizeUnit,28.9%,
ResStage,28.7%,
CoordinateType,28.2%,
ResSpecies,28%,
ResSizeSI,27.3%,
ResSizeUnitSI,27.3%,
ResMassValueSI,27.3%,
ResMassUnitSI,27.3%,
ConDenTypeSI,26%,
ConDenValueSI,26%,
ConDenUnitSI,26%,
TotalObsTimeValueSI,25.1%,
TotalObsTimeUnitSI,25.1%,
ResDenTypeSI,24.5%,
ResTrophic,24.4%,
ResDenUnitSI,23.7%,
TotalObsTimeValue,23.6%,
ResAcc,22.7%,
ResDenValueSI,22.4%,
ConAccTemp,21.7%,
AmbientLightUnit,19.4%,
AmbientLight,19%,
ResRepUnitSI,16.4%,
LocationDate,16.3%,
ConTrophicGroup_citation,16%,
ConAccTime,15%,
ConAccTimeUnit,15%,
OriginalErrorPos,14.5%,
OriginalErrorNeg,14.5%,
ConOrigTemp,13.8%,
ResRepValue,13%,
ConOrigTime,12.7%,
ConOrigTimeUnit,12.7%,
StandardisedErrorUnit,11.4%,
StandardisedErrorNeg,11.3%,
StandardisedErrorPos,10.2%,
ResAccTime,9.9%,
ResAccTimeUnit,9.9%,
ContributorEmail,9%,
ResAccTemp,8.5%,
ConGrowthTemp,8.3%,
ConGrowthTempUnit,8.3%,
ResTrophicGroup_citation,7.5%,
SecondStressorValue,7%,
SecondStressor,6.8%,
ConAccTimeNotes,6.8%,
SecondStressorUnit,6.6%,
ConEquilibTimeValue,6.6%,
ConEquilibTimeUnit,6.6%,
ResAccTimeNotes,6%,
ConAccTempNotes,5.9%,
ConGrowthDur,5.4%,
ConGrowthDurUnit,5.4%,
OriginalErrorUnit,4%,
ResAccTempNotes,3.6%,
ResRepValueSI,3.3%,
ConObsTimeValue,2.9%,
ConObsTimeUnit,2.9%,
ConObsTimeValueSI,2.9%,
ConObsTimeUnitSI,2.9%,
ConOrigTempNotes,2.9%,
SecondStressorDef,2.3%,
ConObsTimeNotes,0.4%,
ConOrigTimeNotes,0.1%,
IndividualID,0%,
TimeStart,0%,
TimeEnd,0%,
TotalObsTimeNotes,0%,
ConWholePart,0%,
ConWholePartType,0%,
ConNumber,0%,
ConGrowthType,0%,
ResGrowthTemp,0%,
ResGrowthTempUnit,0%,
ResGrowthDur,0%,
ResGrowthDurUnit,0%,
ResGrowthType,0%,
ResOrigTemp,0%,
ResOrigTempNotes,0%,
ResOrigTime,0%,
ResOrigTimeNotes,0%,
ResOrigTimeUnit,0%,
ResEquilibTimeValue,0%,
ResEquilibTimeUnit,0%,
ResObsTimeValue,0%,
ResObsTimeUnit,0%,
ResObsTimeValueSI,0%,
ResObsTimeUnitSI,0%,
ResObsTimeNotes,0%,
ManualCheck,0%,
