OriginalTraitName,OriginalTraitDef,OriginalTraitUnit,text,cluster_id,uncertainty
development time,mean duration of life stage,days,Trait: development time. Definition: mean duration of life stage. Unit: days.,1,0
development time,median duration of life stage,days,Trait: development time. Definition: median duration of life stage. Unit: days.,1,2.220446049250313e-15
development time,mean duration period from aphid birth to its first reproduction,days,Trait: development time. Definition: mean duration period from aphid birth to its first reproduction. Unit: days.,1,6.653118056476615e-10
development time,mean duration of life cycle (egg-to-egg),days,Trait: development time. Definition: mean duration of life cycle (egg-to-egg). Unit: days.,1,0
development time,mean duration of life stage (across all humidity levels),days,Trait: development time. Definition: mean duration of life stage (across all humidity levels). Unit: days.,1,4.963582016663803e-4
development time,mean duration for 50 percent of eggs to hatch,days,Trait: development time. Definition: mean duration for 50 percent of eggs to hatch. Unit: days.,1,4.440892098500626e-16
development time,median duration for egg development,days,Trait: development time. Definition: median duration for egg development. Unit: days.,1,7.98402355339789e-9
development time,mean duration for egg development,days,Trait: development time. Definition: mean duration for egg development. Unit: days.,1,0
development time,duration of life stage,days,Trait: development time. Definition: duration of life stage. Unit: days.,1,2.220446049250313e-16
development rate,mean duration of life stage,days,Trait: development rate. Definition: mean duration of life stage. Unit: days.,1,9.785894317104749e-10
development time,mean duration of life cycle,days,Trait: development time. Definition: mean duration of life cycle. Unit: days.,1,3.5039421031335394e-8
development time,individual-level duration of life stage,days,Trait: development time. Definition: individual-level duration of life stage. Unit: days.,1,2.0117241206207837e-13
development time,mean duration from when eggs were deposited to hatch,days,Trait: development time. Definition: mean duration from when eggs were deposited to hatch. Unit: days.,1,0
development time,mean time to complete nymphal devlopment,days,Trait: development time. Definition: mean time to complete nymphal devlopment. Unit: days.,1,2.220446049250313e-16
developmental time,mean duration of life stage,days,Trait: developmental time. Definition: mean duration of life stage. Unit: days.,1,1.945588357088468e-9
development time,mean duration of juvenile stages and from adult emergence to the onset of reproduction,days,Trait: development time. Definition: mean duration of juvenile stages and from adult emergence to the onset of reproduction. Unit: days.,1,1.4912515666765103e-12
development time,nymphal development time,days,Trait: development time. Definition: nymphal development time. Unit: days.,1,3.165818718287028e-9
development time,mean nymphal development time,days,Trait: development time. Definition: mean nymphal development time. Unit: days.,1,5.773159728050814e-15
development time,mean duration of incubation period,days,Trait: development time. Definition: mean duration of incubation period. Unit: days.,1,2.5845992013273644e-13
development time,mean duration of premoulting period,days,Trait: development time. Definition: mean duration of premoulting period. Unit: days.,1,3.086420008457935e-14
Development time,Mean time from engorgement to moulting,days,Trait: Development time. Definition: Mean time from engorgement to moulting. Unit: days.,1,1.7783552408445757e-12
fecundity,mean lifetime offspring,offspring individual-1,Trait: fecundity. Definition: mean lifetime offspring. Unit: offspring individual-1.,2,6.143974218275616e-13
reproductive period,mean duration of life stage,days,Trait: reproductive period. Definition: mean duration of life stage. Unit: days.,2,2.220446049250313e-15
survival,proportion surviving life stage,proportion,Trait: survival. Definition: proportion surviving life stage. Unit: proportion.,2,0
mortality rate,per capita daily mortality,individual-1 day-1,Trait: mortality rate. Definition: per capita daily mortality. Unit: individual-1 day-1.,2,0
survival,percent surviving life stage,percent,Trait: survival. Definition: percent surviving life stage. Unit: percent.,2,0
fecundity rate,mean number of nymphs produced individual-1 during a period equivalent to the prereporoductive time,nymphs unit time-1,Trait: fecundity rate. Definition: mean number of nymphs produced individual-1 during a period equivalent to the prereporoductive time. Unit: nymphs unit time-1.,2,4.884981308350689e-15
fecundity,mean lifetime nymphs individual-1,nymphs individual-1,Trait: fecundity. Definition: mean lifetime nymphs individual-1. Unit: nymphs individual-1.,2,7.616129948928574e-14
blood feeding frequency,mean lifetime blood meals individual-1,blood meals,Trait: blood feeding frequency. Definition: mean lifetime blood meals individual-1. Unit: blood meals.,2,0
body size,mean wet mass,mg,Trait: body size. Definition: mean wet mass. Unit: mg.,2,0
fecundity,mean number of progeny in a reproductive period equal to development time,progeny indidividual-1,Trait: fecundity. Definition: mean number of progeny in a reproductive period equal to development time. Unit: progeny indidividual-1.,2,3.424815986363683e-11
ovipositioning,proportion of blood fed mosquitoes laying egg rafts,proportion,Trait: ovipositioning. Definition: proportion of blood fed mosquitoes laying egg rafts. Unit: proportion.,2,0
egg viability,mean percentage of viable eggs produced per female,eggs individual-1,Trait: egg viability. Definition: mean percentage of viable eggs produced per female. Unit: eggs individual-1.,2,0
fecundity,mean eggs produced per plant,eggs plant-1,Trait: fecundity. Definition: mean eggs produced per plant. Unit: eggs plant-1.,2,0
fat content,mean lipid content per individual,ug mg-1 individual-1,Trait: fat content. Definition: mean lipid content per individual. Unit: ug mg-1 individual-1.,2,0
pre-blood meal period,average duration from emergence to first blood meal,days,Trait: pre-blood meal period. Definition: average duration from emergence to first blood meal. Unit: days.,2,0
gonotrophic cycle,mean number of gonotrophic cycles completed in individuals lifetime,days,Trait: gonotrophic cycle. Definition: mean number of gonotrophic cycles completed in individuals lifetime. Unit: days.,2,0
resource consumption rate,mean daily resource consumption rate,cm2 day-1,Trait: resource consumption rate. Definition: mean daily resource consumption rate. Unit: cm2 day-1.,2,0
blood feeding,percent taking one bloodmeal,percent,Trait: blood feeding. Definition: percent taking one bloodmeal. Unit: percent.,2,0
transmission potential,percent of individuals with transmission potential,percent,Trait: transmission potential. Definition: percent of individuals with transmission potential. Unit: percent.,2,0
post-oviposition period,mean duration of life stage,days,Trait: post-oviposition period. Definition: mean duration of life stage. Unit: days.,2,0
fecundity,mean lifetime egg punctures,egg punctures individual-1,Trait: fecundity. Definition: mean lifetime egg punctures. Unit: egg punctures individual-1.,2,0
lipid content,mean lipid content per individual,ug,Trait: lipid content. Definition: mean lipid content per individual. Unit: ug.,2,0
protein content,mean protein content per individual,ug,Trait: protein content. Definition: mean protein content per individual. Unit: ug.,2,0
glycogen content,mean glycogen content per individual,ug,Trait: glycogen content. Definition: mean glycogen content per individual. Unit: ug.,2,0
body size,mean wet mass (waxless and gravid),mg,Trait: body size. Definition: mean wet mass (waxless and gravid). Unit: mg.,2,0
ovariole number,mean number of ovarioles per individual,ovarioles individual-1,Trait: ovariole number. Definition: mean number of ovarioles per individual. Unit: ovarioles individual-1.,2,0
reproductive capacity,mean lifetime nymphs (30 days),nymphs individual-1,Trait: reproductive capacity. Definition: mean lifetime nymphs (30 days). Unit: nymphs individual-1.,2,0
mortality rate,mean per capita rate of mortality during life stage,individual-1 day-1,Trait: mortality rate. Definition: mean per capita rate of mortality during life stage. Unit: individual-1 day-1.,2,0
pre-reproductive period,mean duration of life stage,days,Trait: pre-reproductive period. Definition: mean duration of life stage. Unit: days.,2,1.0899547930875997e-10
hatching rate,percent surviving life stage,percent,Trait: hatching rate. Definition: percent surviving life stage. Unit: percent.,2,0
hatching rate,mean duration of life stage,percent,Trait: hatching rate. Definition: mean duration of life stage. Unit: percent.,2,0
mortality,mean duration of life stage,days,Trait: mortality. Definition: mean duration of life stage. Unit: days.,2,7.981229914744148e-7
body size,mean length,mm,Trait: body size. Definition: mean length. Unit: mm.,2,0
body size,mean width,mm,Trait: body size. Definition: mean width. Unit: mm.,2,0
resource consumption rate,mean lifetime prey consumed,individual prey individual-1,Trait: resource consumption rate. Definition: mean lifetime prey consumed. Unit: individual prey individual-1.,2,0
age specific fecundity,mean number of female offspring individual-1 at specific age,females individual-1,Trait: age specific fecundity. Definition: mean number of female offspring individual-1 at specific age. Unit: females individual-1.,2,0
