
--- Cluster 1 (21 members) ---
  'development time' | mean duration of life stage | days
  'development time' | median duration of life stage | days
  'development time' | mean duration period from aphid birth to its fi... | days
  'development time' | mean duration of life cycle (egg-to-egg) | days
  'development time' | mean duration of life stage (across all humidit... | days
  'development time' | mean duration for 50 percent of eggs to hatch | days
  'development time' | median duration for egg development | days
  'development time' | mean duration for egg development | days
  'development time' | duration of life stage | days
  'development rate' | mean duration of life stage | days
  'development time' | mean duration of life cycle | days
  'development time' | individual-level duration of life stage | days
  'development time' | mean duration from when eggs were deposited to ... | days
  'development time' | mean time to complete nymphal devlopment | days
  'developmental time' | mean duration of life stage | days
  'development time' | mean duration of juvenile stages and from adult... | days
  'development time' | nymphal development time | days
  'development time' | mean nymphal development time | days
  'development time' | mean duration of incubation period | days
  'development time' | mean duration of premoulting period | days
  'Development time' | Mean time from engorgement to moulting | days

--- Cluster 2 (305 members) ---
  'fecundity' | mean lifetime offspring | offspring individual-1
  'reproductive period' | mean duration of life stage | days
  'survival' | proportion surviving life stage | proportion
  'mortality rate' | per capita daily mortality | individual-1 day-1
  'survival' | percent surviving life stage | percent
  'fecundity rate' | mean number of nymphs produced individual-1 dur... | nymphs unit time-1
  'fecundity' | mean lifetime nymphs individual-1 | nymphs individual-1
  'blood feeding frequency' | mean lifetime blood meals individual-1 | blood meals
  'body size' | mean wet mass | mg
  'fecundity' | mean number of progeny in a reproductive period... | progeny indidividual-1
  'ovipositioning' | proportion of blood fed mosquitoes laying egg r... | proportion
  'egg viability' | mean percentage of viable eggs produced per female | eggs individual-1
  'fecundity' | mean eggs produced per plant | eggs plant-1
  'fat content' | mean lipid content per individual | ug mg-1 individual-1
  'pre-blood meal period' | average duration from emergence to first blood ... | days
  'gonotrophic cycle' | mean number of gonotrophic cycles completed in ... | days
  'resource consumption rate' | mean daily resource consumption rate | cm2 day-1
  'blood feeding' | percent taking one bloodmeal | percent
  'transmission potential' | percent of individuals with transmission potential | percent
  'post-oviposition period' | mean duration of life stage | days
  'fecundity' | mean lifetime egg punctures | egg punctures individual-1
  'lipid content' | mean lipid content per individual | ug
  'protein content' | mean protein content per individual | ug
  'glycogen content' | mean glycogen content per individual | ug
  'body size' | mean wet mass (waxless and gravid) | mg
  'ovariole number' | mean number of ovarioles per individual | ovarioles individual-1
  'reproductive capacity' | mean lifetime nymphs (30 days) | nymphs individual-1
  'mortality rate' | mean per capita rate of mortality during life s... | individual-1 day-1
  'pre-reproductive period' | mean duration of life stage | days
  'hatching rate' | percent surviving life stage | percent
  'hatching rate' | mean duration of life stage | percent
  'mortality' | mean duration of life stage | days
  'body size' | mean length | mm
  'body size' | mean width | mm
  'resource consumption rate' | mean lifetime prey consumed | individual prey individual-1
  'age specific fecundity' | mean number of female offspring individual-1 at... | females individual-1
  'fecundity' | mean number of female offspring individual-1 | females individual-1
  'fecundity' | mean lifetime eggs per individual (across all h... | eggs individual-1
  'survival' | percent surviving life stage (across all humidi... | percent
  'mortality' | cummulative mortality percentage across immatur... | percent
  'hatch time' | mean duration of life stage | hours
  'gonotrophic cycle' | mean duration of gonotrophic cycle (7th) | days
  'mortality' | proportion not surviving life stage | proportion
  'hatching range' | range of the number of days all eggs hatched fr... | days
  'pre-reproductive period' | mean duration from adult emergence to onset of ... | days
  'body size' | mean dry mass | mg
  'body size' | mean head width | mm
  'fecundity' | mean lifetime offspring as a function of size a... | offspring individual-1
  'body size' | mean thorax length | mm
  'consumption rate' | mean relative consumption rate | mg of aphids
  'growth rate' | mean daily growth rate (the product of ln pupal... | ln(mg day-1)
  'body size' | mean body weight | mg
  'weight loss' | proportionate weight loss in relation to temper... | proportion
  'mortality' | time to 50% mortality | days
  'feeding rate' | mean lifetime feeding punctures | feeding punctures individual-1
  'EIP (extrinsic incubation period)' | day sporozoites first detected in salivary glands | days
  'oocyst prevalence' | not stated | percent
  'oocyst intensity' | not stated | not stated
  'sporozoite prevalence' | not stated | percent
  'copulation duration' | mean copulation duration | hours individual-1 lifetime-1
  'prey consumption' | mean number of prey consumed | number of individual prey individual-1
  'mortality rate' | mean death rate during life stage | individual-1 day-1
  'metabolic rate' | mean CO2 production (VCO2) (RMR: resting metabo... | uL h-1
  'parasite maturation time' | mean duration time from infective feed to matur... | days
  'interlarval period' | mean frequency of larval production | days
  'survival' | probability of survival after exposure to extre... | probability
  'metabolic rate' | mean CO2 production rate as a function of expos... | ml CO2 h-1
  'metabolic rate' | mean CO2 production rate | ul CO2 h-1
  'fat consumption rate' | mean daily rate of fat consumption | mg day-1
  'pre-reproductive period' | mean duration to production of first larva | days
  'blood feeding' | mean lifetime blood feeds | blood meals individual-1
  'metabolic rate (active)' | mean active metabolic rate (AMR) | ml CO2 h-1
  'relative activity' | amount of activity as a percentage of maximum r... | percent
  'metabolic rate' | mean respiratory CO2 rate (RCO2) | pmol mg-1 s-1
  'metabolic heat rate' | mean metabolic heat rate (or 455RCO2) | uW mg-1
  'anabolic rate' | mean anabolic rate | uW mg-1
  'metabolic rate (resting)' | mean oxygen consumption of inactive individuals... | Ml O2 g thorax-1 h-1
  'metabolic rate' | mean oxygen uptake rate | ml O2 g-1 h-1
  'metabolic rate (standard)' | mean CO2 production rate (VCO2) | ml CO2 g-1 h-1
  'gonotrophic cycle 1' | individual-level duration of first gonotrophic ... | days
  'gonotrophic cycle 2' | individual-level duration of second gonotrophic... | days
  'fecundity' | individual-level mean eggs per gonotrophic cycle | eggs cycle-1
