Id,DatasetID,IndividualID,OriginalID,OriginalTraitName,OriginalTraitDef,StandardisedTraitName,StandardisedTraitDef,OriginalTraitValue,OriginalTraitUnit,OriginalErrorPos,OriginalErrorNeg,OriginalErrorUnit,StandardisedTraitValue,StandardisedTraitUnit,Replicates,Habitat,LabField,AmbientTemp,AmbientTempMethod,AmbientTempUnit,SecondStressor,SecondStressorDef,SecondStressorValue,SecondStressorUnit,TimeStart,TimeEnd,TotalObsTimeValue,TotalObsTimeUnit,TotalObsTimeNotes,Location,LocationType,LocationDate,LocationDatePrecision,CoordinateType,Latitude,Longitude,Interactor1,Interactor1Common,Interactor1Wholepart,Interactor1Number,Interactor1Kingdom,Interactor1Phylum,Interactor1Class,Interactor1Order,Interactor1Family,Interactor1Genus,Interactor1Species,Interactor1Stage,Interactor1Sex,Interactor1Temp,Interactor1TempUnit,Interactor1TempMethod,Interactor1GrowthTemp,Interactor1GrowthTempUnit,Interactor1GrowthDur,Interactor1GrowthdDurUnit,Interactor1GrowthType,Interactor1Acc,Interactor1AccTemp,Interactor1AccTime,Interactor1AccTimeUnit,Interactor1OrigTempNotes,Interactor1OrigTime,Interactor1OrigTimeUnit,Interactor1Size,Interactor1SizeUnit,Interactor1SizeType,Interactor1SizeSI,Interactor1SizeUnitSI,Interactor1DenValue,Interactor1DenUnit,Interactor2Common,Interactor2Kingdom,Interactor2Phylum,Interactor2Class,Interactor2Order,Interactor2Family,Interactor2Genus,Interactor2Species,Interactor2Stage,Interactor2Temp,Interactor2TempUnit,Interactor2GrowthTemp,Interactor2GrowthTempUnit,FigureTable,Citation,DOI,CuratedByCitation,CuratedByDOI,SubmittedBy,ContributorEmail,Notes,DefaultChartXaxis,DefaultChartCategory,EmbargoReleaseDate,cluster_id,version
81518,1,,PHX801,development time,mean duration of life stage,,,21.3,days,0.31,0.31,se,,,,terrestrial,laboratory,,,,,,,,,,,,,Nonsan-si Republic of Korea,field,01/01/2009,1,decimal,36.5,126.75,Acyrthosiphon pisum,Pea aphid,,39.0,Animalia,Arthropoda,Insecta,Hemiptera,Aphididae,Acyrthosiphon,pisum,juvenile,,10.0,Celsius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,table 1,Ahn et al. 2020. Thermal effects on the population parameters and growth of Acyrthosiphon pisum (Harris) (Hemiptera: Aphididae). Insects 11:8,10.3390/insects11080481,"Pawar, S., Huxley, P.J., Smallwood, T.R.C. et al. Variation in temperature of peak trait performance constrains adaptation of arthropod populations to climatic warming. Nat Ecol Evol 8, 500–510 (2024).",10.1038/s41559-023-02301-8,Paul Huxley,phuxly@gmail.com,reared on faba bean leaves,Interactor1Temp,Location,01/01/2020,6,v1
81523,2,,PHX802,fecundity,mean lifetime offspring,,,51.5,offspring individual-1,3.93,3.93,se,,,,terrestrial,laboratory,,,,,,,,,,,,,Nonsan-si Republic of Korea,field,01/01/2009,1,decimal,36.5,126.75,Acyrthosiphon pisum,Pea aphid,,50.0,Animalia,Arthropoda,Insecta,Hemiptera,Aphididae,Acyrthosiphon,pisum,adult,female,10.0,Celsius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,table 1,Ahn et al. 2020. Thermal effects on the population parameters and growth of Acyrthosiphon pisum (Harris) (Hemiptera: Aphididae). Insects 11:8,10.3390/insects11080481,"Pawar, S., Huxley, P.J., Smallwood, T.R.C. et al. Variation in temperature of peak trait performance constrains adaptation of arthropod populations to climatic warming. Nat Ecol Evol 8, 500–510 (2024).",10.1038/s41559-023-02301-8,Paul Huxley,phuxly@gmail.com,reared on faba bean leaves,Interactor1Temp,Location,01/01/2020,28,v1
81528,3,,PHX803,longevity,mean duration of life stage,z,adult mortality rate,37.7,days,2.63,2.63,se,,,,terrestrial,laboratory,,,,,,,,,,,,,Nonsan-si Republic of Korea,field,01/01/2009,1,decimal,36.5,126.75,Acyrthosiphon pisum,Pea aphid,,39.0,Animalia,Arthropoda,Insecta,Hemiptera,Aphididae,Acyrthosiphon,pisum,adult,female,10.0,Celsius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,table 1,Ahn et al. 2020. Thermal effects on the population parameters and growth of Acyrthosiphon pisum (Harris) (Hemiptera: Aphididae). Insects 11:8,10.3390/insects11080481,"Pawar, S., Huxley, P.J., Smallwood, T.R.C. et al. Variation in temperature of peak trait performance constrains adaptation of arthropod populations to climatic warming. Nat Ecol Evol 8, 500–510 (2024).",10.1038/s41559-023-02301-8,Paul Huxley,phuxly@gmail.com,reared on faba bean leaves,Interactor1Temp,Location,01/01/2020,8,v1
81533,4,,PHX804,reproductive period,mean duration of life stage,,,22.1,days,1.65,1.65,se,,,,terrestrial,laboratory,,,,,,,,,,,,,Nonsan-si Republic of Korea,field,01/01/2009,1,decimal,36.5,126.75,Acyrthosiphon pisum,Pea aphid,,39.0,Animalia,Arthropoda,Insecta,Hemiptera,Aphididae,Acyrthosiphon,pisum,adult,female,10.0,Celsius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,table 1,Ahn et al. 2020. Thermal effects on the population parameters and growth of Acyrthosiphon pisum (Harris) (Hemiptera: Aphididae). Insects 11:8,10.3390/insects11080481,"Pawar, S., Huxley, P.J., Smallwood, T.R.C. et al. Variation in temperature of peak trait performance constrains adaptation of arthropod populations to climatic warming. Nat Ecol Evol 8, 500–510 (2024).",10.1038/s41559-023-02301-8,Paul Huxley,phuxly@gmail.com,reared on faba bean leaves,Interactor1Temp,Location,01/01/2020,25,v1
81538,5,,PHX805,survival,proportion surviving life stage,zj,juvenile mortality rate,0.78,proportion,0.05,0.05,se,,,,terrestrial,laboratory,,,,,,,,,,,,,Nonsan-si Republic of Korea,field,01/01/2009,1,decimal,36.5,126.75,Acyrthosiphon pisum,Pea aphid,,50.0,Animalia,Arthropoda,Insecta,Hemiptera,Aphididae,Acyrthosiphon,pisum,juvenile (not inc egg stage),,10.0,Celsius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,table 1,Ahn et al. 2020. Thermal effects on the population parameters and growth of Acyrthosiphon pisum (Harris) (Hemiptera: Aphididae). Insects 11:8,10.3390/insects11080481,"Pawar, S., Huxley, P.J., Smallwood, T.R.C. et al. Variation in temperature of peak trait performance constrains adaptation of arthropod populations to climatic warming. Nat Ecol Evol 8, 500–510 (2024).",10.1038/s41559-023-02301-8,Paul Huxley,phuxly@gmail.com,reared on faba bean leaves,Interactor1Temp,Location,01/01/2020,12,v1
81543,6,,PHX4,mortality rate,per capita daily mortality,,,0.01,individual-1 day-1,0.0011,0.0011,se,,,3.0,terrestrial,laboratory,,,,,,,,,,,,,East St Louis Illinois,field,,0,decimal,38.625,-90.1575,Aedes albopictus,Tiger mosquito,,,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,albopictus,adult,,22.0,Celsius,,,Celsius (see notes),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,table 2,Alto and Juliano 2001. Temperature effects on the dynamics of Aedes albopictus (Diptera: Culicidae) populations in the laboratory. J. Med. Entomol. 38: 4,10.1603/0022-2585-38.4.548,"Da Re, D., Andreo, V., San Miguel, T.V. et al. AedesTraits: A global dataset of temperature–dependent trait responses in Aedes mosquitoes. Sci Data 12, 2033 (2025).",10.1038/s41597-025-06461-z,Paul Huxley,phuxly@gmail.com,interactor1growthtemp ranged between 22 and 27 degrees Celsius,Interactor1Temp,LocationText,01/01/2001,14,v1
81572,10,,PHX134,ovipositional period,mean duration of life stage,,,19.6,days,1.0,1.1,se,,,,terrestrial,laboratory,,,,,,,,,,,,,Homestead Florida,field,01/01/2008,2,decimal,25.468722,-80.477557,Paracoccus marginatus,Papaya mealybug,,,Animalia,Arthropoda,Insecta,Hemiptera,Pseudococcidae,Paracoccus,marginatus,adult,female,18.0,Celsius,,25.0,Celsius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,table 3,Amarasekare et al. 2008. Effect of Temperature on the Life History of the Mealybug Paracoccus marginatus (Hemiptera: Pseudococcidae). J. Econ. Entomol. 101,10.1603/0022-0493-101.6.1798,"Pawar, S., Huxley, P.J., Smallwood, T.R.C. et al. Variation in temperature of peak trait performance constrains adaptation of arthropod populations to climatic warming. Nat Ecol Evol 8, 500–510 (2024).",10.1038/s41559-023-02301-8,Paul Huxley,phuxly@gmail.com,,Interactor1Temp,LocationText,01/01/2008,27,v1
81576,11,,PHX135,survival,percent surviving life stage,,,0.0,percent,,,se,,,,terrestrial,laboratory,,,,,,,,,,,,,Homestead Florida,field,01/01/2008,2,decimal,25.468722,-80.477557,Paracoccus marginatus,Papaya mealybug,,,Animalia,Arthropoda,Insecta,Hemiptera,Pseudococcidae,Paracoccus,marginatus,juvenile (inc egg stage),,15.0,Celsius,,25.0,Celsius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,table 2,Amarasekare et al. 2008. Effect of Temperature on the Life History of the Mealybug Paracoccus marginatus (Hemiptera: Pseudococcidae). J. Econ. Entomol. 101,10.1603/0022-0493-101.6.1798,"Pawar, S., Huxley, P.J., Smallwood, T.R.C. et al. Variation in temperature of peak trait performance constrains adaptation of arthropod populations to climatic warming. Nat Ecol Evol 8, 500–510 (2024).",10.1038/s41559-023-02301-8,Paul Huxley,phuxly@gmail.com,,Interactor1Temp,LocationText,01/01/2008,12,v1
81601,15,,PHX112,development time,median duration of life stage ,,,59.29,days,1.32,1.32,95% CI,,,,terrestrial,laboratory,,,,,,,,,,,,,Dar es Salaam Tanzania,colony,,0,decimal,-6.8,39.283333,Bemisia tabaci,Silverleaf whitefly,,45.0,Animalia,Arthropoda,Insecta,Hemiptera,Aleyrodidae,Bemisia,tabaci,juvenile,,16.0,Celsius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SM1,Aregbesola et al. 2020. Life history and temperature dependence of cassava colonising populations of Bemisia tabaci. J. Pest. Sci 93: 4,10.1007/s10340-020-01249-z,"Pawar, S., Huxley, P.J., Smallwood, T.R.C. et al. Variation in temperature of peak trait performance constrains adaptation of arthropod populations to climatic warming. Nat Ecol Evol 8, 500–510 (2024).",10.1038/s41559-023-02301-8,Paul Huxley,phuxly@gmail.com,,Interactor1Temp,LocationText,01/01/2020,6,v1
81607,16,,PHX113,longevity,median duration of life stage ,,,15.7,days,1.52,1.52,95% CI,,,,terrestrial,laboratory,,,,,,,,,,,,,Dar es Salaam Tanzania,colony,,0,decimal,-6.8,39.283333,Bemisia tabaci,Silverleaf whitefly,,41.0,Animalia,Arthropoda,Insecta,Hemiptera,Aleyrodidae,Bemisia,tabaci,adult,female,16.0,Celsius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,table 4,Aregbesola et al. 2020. Life history and temperature dependence of cassava colonising populations of Bemisia tabaci. J. Pest. Sci 93: 4,10.1007/s10340-020-01249-z,"Pawar, S., Huxley, P.J., Smallwood, T.R.C. et al. Variation in temperature of peak trait performance constrains adaptation of arthropod populations to climatic warming. Nat Ecol Evol 8, 500–510 (2024).",10.1038/s41559-023-02301-8,Paul Huxley,phuxly@gmail.com,,Interactor1Temp,LocationText,01/01/2020,8,v1
