OriginalTraitName,OriginalTraitDef,OriginalTraitUnit,text,cluster_id,n_members
mortality rate,per capita daily mortality,individual-1 day-1,Trait: mortality rate. Definition: per capita daily mortality. Unit: individual-1 day-1.,-1,130
blood feeding frequency,mean lifetime blood meals individual-1,blood meals,Trait: blood feeding frequency. Definition: mean lifetime blood meals individual-1. Unit: blood meals.,-1,130
ovipositioning,proportion of blood fed mosquitoes laying egg rafts,proportion,Trait: ovipositioning. Definition: proportion of blood fed mosquitoes laying egg rafts. Unit: proportion.,-1,130
egg viability,mean percentage of viable eggs produced per female,eggs individual-1,Trait: egg viability. Definition: mean percentage of viable eggs produced per female. Unit: eggs individual-1.,-1,130
fat content,mean lipid content per individual,ug mg-1 individual-1,Trait: fat content. Definition: mean lipid content per individual. Unit: ug mg-1 individual-1.,-1,130
pre-blood meal period,average duration from emergence to first blood meal,days,Trait: pre-blood meal period. Definition: average duration from emergence to first blood meal. Unit: days.,-1,130
resource consumption rate,mean daily resource consumption rate,cm2 day-1,Trait: resource consumption rate. Definition: mean daily resource consumption rate. Unit: cm2 day-1.,-1,130
blood feeding,percent taking one bloodmeal,percent,Trait: blood feeding. Definition: percent taking one bloodmeal. Unit: percent.,-1,130
transmission potential,percent of individuals with transmission potential,percent,Trait: transmission potential. Definition: percent of individuals with transmission potential. Unit: percent.,-1,130
lipid content,mean lipid content per individual,ug,Trait: lipid content. Definition: mean lipid content per individual. Unit: ug.,-1,130
protein content,mean protein content per individual,ug,Trait: protein content. Definition: mean protein content per individual. Unit: ug.,-1,130
glycogen content,mean glycogen content per individual,ug,Trait: glycogen content. Definition: mean glycogen content per individual. Unit: ug.,-1,130
ovariole number,mean number of ovarioles per individual,ovarioles individual-1,Trait: ovariole number. Definition: mean number of ovarioles per individual. Unit: ovarioles individual-1.,-1,130
resource consumption rate,mean lifetime prey consumed,individual prey individual-1,Trait: resource consumption rate. Definition: mean lifetime prey consumed. Unit: individual prey individual-1.,-1,130
survival,percent surviving life stage (across all humidity levels),percent,Trait: survival. Definition: percent surviving life stage (across all humidity levels). Unit: percent.,-1,130
hatch time,mean duration of life stage,hours,Trait: hatch time. Definition: mean duration of life stage. Unit: hours.,-1,130
hatching range,range of the number of days all eggs hatched from when the first egg hatching started,days,Trait: hatching range. Definition: range of the number of days all eggs hatched from when the first egg hatching started. Unit: days.,-1,130
chill-coma recovery time,mean duration for individuals to regain full movement after being cold shocked as function of growth temperature,minutes,Trait: chill-coma recovery time. Definition: mean duration for individuals to regain full movement after being cold shocked as function of growth temperature. Unit: minutes.,-1,130
chill-coma recovery time,mean duration for individuals to regain full movement after being cold shocked as function of adult temperature,minutes,Trait: chill-coma recovery time. Definition: mean duration for individuals to regain full movement after being cold shocked as function of adult temperature. Unit: minutes.,-1,130
heat knockdown time,mean duration individuals can tolerate heat exposure before movement ceases as a function of adult temperature,minutes,Trait: heat knockdown time. Definition: mean duration individuals can tolerate heat exposure before movement ceases as a function of adult temperature. Unit: minutes.,-1,130
heat knockdown time,mean duration individuals can tolerate heat exposure before movement ceases as a function of sex and growth temperature,minutes,Trait: heat knockdown time. Definition: mean duration individuals can tolerate heat exposure before movement ceases as a function of sex and growth temperature. Unit: minutes.,-1,130
