OriginalTraitName,OriginalTraitDef,OriginalTraitUnit,text,version,cluster_id
development time,mean duration of life stage,days,Trait: development time.,v1,1
fecundity,mean lifetime offspring,offspring individual-1,Trait: fecundity.,v1,5
longevity,mean duration of life stage,days,Trait: longevity.,v1,3
reproductive period,mean duration of life stage,days,Trait: reproductive period.,v1,5
survival,proportion surviving life stage,proportion,Trait: survival.,v1,-1
mortality rate,per capita daily mortality,individual-1 day-1,Trait: mortality rate.,v1,4
ovipositional period,mean duration of life stage,days,Trait: ovipositional period.,v1,7
fecundity rate,mean number of nymphs produced individual-1 during a period equivalent to the prereporoductive time,nymphs unit time-1,Trait: fecundity rate.,v1,5
mortality,percent not surviving life stage,percent,Trait: mortality.,v1,4
pre-oviposition period,mean duration from adult emergence to onset of reproduction,days,Trait: pre-oviposition period.,v1,7
blood feeding frequency,mean lifetime blood meals individual-1,blood meals,Trait: blood feeding frequency.,v1,-1
body size,mean wet mass,mg,Trait: body size.,v1,2
ovipositioning,proportion of blood fed mosquitoes laying egg rafts,proportion,Trait: ovipositioning.,v1,7
development rate,mean rate of life stage completion,days-1,Trait: development rate.,v1,1
egg viability,mean percentage of viable eggs produced per female,eggs individual-1,Trait: egg viability.,v1,2
fat content,mean lipid content per individual,ug mg-1 individual-1,Trait: fat content.,v1,-1
pre-blood meal period,average duration from emergence to first blood meal,days,Trait: pre-blood meal period.,v1,-1
gonotrophic cycle,mean number of gonotrophic cycles completed in individuals lifetime,days,Trait: gonotrophic cycle.,v1,-1
resource consumption rate,mean daily resource consumption rate,cm2 day-1,Trait: resource consumption rate.,v1,-1
blood feeding,percent taking one bloodmeal,percent,Trait: blood feeding.,v1,-1
transmission potential,percent of individuals with transmission potential,percent,Trait: transmission potential.,v1,-1
post-oviposition period,mean duration of life stage,days,Trait: post-oviposition period.,v1,7
lipid content,mean lipid content per individual,ug,Trait: lipid content.,v1,-1
protein content,mean protein content per individual,ug,Trait: protein content.,v1,-1
glycogen content,mean glycogen content per individual,ug,Trait: glycogen content.,v1,-1
ovariole number,mean number of ovarioles per individual,ovarioles individual-1,Trait: ovariole number.,v1,-1
reproductive capacity,mean lifetime nymphs (30 days),nymphs individual-1,Trait: reproductive capacity.,v1,5
pre-reproductive period,mean duration of life stage,days,Trait: pre-reproductive period.,v1,5
hatching rate,percent surviving life stage,percent,Trait: hatching rate.,v1,6
age specific fecundity,mean number of female offspring individual-1 at specific age,females individual-1,Trait: age specific fecundity.,v1,5
hatch time,mean duration of life stage,hours,Trait: hatch time.,v1,6
hatching range,range of the number of days all eggs hatched from when the first egg hatching started,days,Trait: hatching range.,v1,-1
age at first reproduction,mean age at first reproduction,days,Trait: age at first reproduction.,v1,-1
chill-coma recovery time,mean duration for individuals to regain full movement after being cold shocked as function of growth temperature,minutes,Trait: chill-coma recovery time.,v1,-1
heat knockdown time,mean duration individuals can tolerate heat exposure before movement ceases as a function of adult temperature,minutes,Trait: heat knockdown time.,v1,-1
consumption rate,mean relative consumption rate,mg of aphids,Trait: consumption rate.,v1,-1
growth rate,mean daily growth rate (the product of ln pupal weight divided by larval development time),ln(mg day-1),Trait: growth rate.,v1,-1
weight loss,proportionate weight loss in relation to temperature and population,proportion,Trait: weight loss.,v1,-1
feeding rate,mean lifetime feeding punctures,feeding punctures individual-1,Trait: feeding rate.,v1,-1
EIP (extrinsic incubation period),day sporozoites first detected in salivary glands,days,Trait: EIP (extrinsic incubation period).,v1,-1
oocyst prevalence,not stated,percent,Trait: oocyst prevalence.,v1,-1
oocyst intensity,not stated,not stated,Trait: oocyst intensity.,v1,-1
sporozoite prevalence,not stated,percent,Trait: sporozoite prevalence.,v1,-1
copulation duration,mean copulation duration,hours individual-1 lifetime-1,Trait: copulation duration.,v1,-1
hatchability,mean percentage of eggs hatching,percent,Trait: hatchability.,v1,6
prey consumption,mean number of prey consumed,number of individual prey individual-1,Trait: prey consumption.,v1,-1
metabolic rate,mean CO2 production (VCO2) (RMR: resting metabolic rate),uL h-1,Trait: metabolic rate.,v1,0
parasite maturation time,mean duration time from infective feed to mature infection,days,Trait: parasite maturation time.,v1,-1
interlarval period,mean frequency of larval production,days,Trait: interlarval period.,v1,-1
