OriginalTraitName,OriginalTraitDef,OriginalTraitUnit,Interactor1Order,Interactor1Family,text,version,cluster_id,,,,,,,,,,,
Development Rate (Egg),1 / time for egg incubation across const temps,days-1,Ixodida,Ixodidae,Trait: Development Rate (Egg). Definition: 1 / time for egg incubation across const temps. Unit: days-1. Organism order: Ixodida. Organism family: Ixodidae.,v5,-1,,,,,,,,,,,
Distance Traveled,Average distance covered per hour while questing,mm,Ixodida,Ixodidae,Trait: Distance Traveled. Definition: Average distance covered per hour while questing. Unit: mm. Organism order: Ixodida. Organism family: Ixodidae.,v5,-1,,,,,,,,,,,
EIP (extrinsic incubation period),day sporozoites first detected in salivary glands,days,Diptera,Culicidae,Trait: EIP (extrinsic incubation period). Definition: day sporozoites first detected in salivary glands. Unit: days. Organism order: Diptera. Organism family: Culicidae.,v5,-1,,,,,,,,,,,
Feeding Period,number of days required for nymphs to fully engorge,days,Ixodida,Ixodidae,Trait: Feeding Period. Definition: number of days required for nymphs to fully engorge. Unit: days. Organism order: Ixodida. Organism family: Ixodidae.,v5,-1,,,,,,,,,,,
Feeding Period of Nymphs (Days),number of days required for nymphs to fully engorge,days,Ixodida,Ixodidae,Trait: Feeding Period of Nymphs (Days). Definition: number of days required for nymphs to fully engorge. Unit: days. Organism order: Ixodida. Organism family: Ixodidae.,v5,-1,,,,,,,,,,,
Mortality Rate,number that survived the 38 hours,count,Ixodida,Ixodidae,Trait: Mortality Rate. Definition: number that survived the 38 hours. Unit: count. Organism order: Ixodida. Organism family: Ixodidae.,v5,-1,,,,,,,,,,,
Mortality Rate,number that survived the 43 hours,count,Ixodida,Ixodidae,Trait: Mortality Rate. Definition: number that survived the 43 hours. Unit: count. Organism order: Ixodida. Organism family: Ixodidae.,v5,-1,,,,,,,,,,,
Mortality Rate,Percent mortality in engorged ticks before moulting,percent,Ixodida,Ixodidae,Trait: Mortality Rate. Definition: Percent mortality in engorged ticks before moulting. Unit: percent. Organism order: Ixodida. Organism family: Ixodidae.,v5,-1,,,,,,,,,,,
Oviposition Rate,mean number of eggs per female,eggs,Ixodida,Ixodidae,Trait: Oviposition Rate. Definition: mean number of eggs per female. Unit: eggs. Organism order: Ixodida. Organism family: Ixodidae.,v5,-1,,,,,,,,,,,
Post-reproductive average,period from the end of reproduction until death,days,Hemiptera,Aphididae,Trait: Post-reproductive average. Definition: period from the end of reproduction until death. Unit: days. Organism order: Hemiptera. Organism family: Aphididae.,v5,-1,,,,,,,,,,,
Pre-Oviposition Period,Pre-oviposition period of ticks held at constant temperature,days,Ixodida,Ixodidae,Trait: Pre-Oviposition Period. Definition: Pre-oviposition period of ticks held at constant temperature. Unit: days. Organism order: Ixodida. Organism family: Ixodidae.,v5,-1,,,,,,,,,,,
Pre-Oviposition Period in engorged females,Pre-Oviposition Period in engorged females,days-1,Ixodida,Ixodidae,Trait: Pre-Oviposition Period in engorged females. Definition: Pre-Oviposition Period in engorged females. Unit: days-1. Organism order: Ixodida. Organism family: Ixodidae.,v5,-1,,,,,,,,,,,
Pre-reproductive average,Period from birth until first molt,days,Hemiptera,Aphididae,Trait: Pre-reproductive average. Definition: Period from birth until first molt. Unit: days. Organism order: Hemiptera. Organism family: Aphididae.,v5,-1,,,,,,,,,,,
Questing Height,questing height -- Average (across 38 hours and interactor1number of ticks) mm from the lower end of the tube - measured along the length of the tube. Tube is at a 15* incline,mm,Ixodida,Ixodidae,Trait: Questing Height. Definition: questing height -- Average (across 38 hours and interactor1number of ticks) mm from the lower end of the tube - measured along the length of the tube. Tube is at a 15* incline. Unit: mm. Organism order: Ixodida. Organism family: Ixodidae.,v5,-1,,,,,,,,,,,
Questing Height,questing height -- Average (across 43 hours and interactor1number of ticks) mm from the lower end of the tube - measured along the length of the tube. Tube is at a 15* incline,mm,Ixodida,Ixodidae,Trait: Questing Height. Definition: questing height -- Average (across 43 hours and interactor1number of ticks) mm from the lower end of the tube - measured along the length of the tube. Tube is at a 15* incline. Unit: mm. Organism order: Ixodida. Organism family: Ixodidae.,v5,-1,,,,,,,,,,,
Questing Time,Mean proportion of time tick seen questing (legs spread more than 50 percent) across the 38 hours,percent,Ixodida,Ixodidae,Trait: Questing Time. Definition: Mean proportion of time tick seen questing (legs spread more than 50 percent) across the 38 hours. Unit: percent. Organism order: Ixodida. Organism family: Ixodidae.,v5,-1,,,,,,,,,,,
Reproductive average,Period from the adult stage (genital plate appeared and the complete development of the cauda) until the end of reproduction,days,Hemiptera,Aphididae,Trait: Reproductive average. Definition: Period from the adult stage (genital plate appeared and the complete development of the cauda) until the end of reproduction. Unit: days. Organism order: Hemiptera. Organism family: Aphididae.,v5,-1,,,,,,,,,,,
Water loss,Water loss of ticks exposed to dry air for 24 hours,mg/cm2,Ixodida,Ixodidae,Trait: Water loss. Definition: Water loss of ticks exposed to dry air for 24 hours. Unit: mg/cm2. Organism order: Ixodida. Organism family: Ixodidae.,v5,-1,,,,,,,,,,,
Water loss,Water loss of dead engorged ticks exposed to dry air at a certain temperature for 30 mins,mg/cm2,Ixodida,Ixodidae,Trait: Water loss. Definition: Water loss of dead engorged ticks exposed to dry air at a certain temperature for 30 mins. Unit: mg/cm2. Organism order: Ixodida. Organism family: Ixodidae.,v5,-1,,,,,,,,,,,
Weight loss,Weight loss of ticks exposed to dry air for 24 hours,percent,Ixodida,Ixodidae,Trait: Weight loss. Definition: Weight loss of ticks exposed to dry air for 24 hours. Unit: percent. Organism order: Ixodida. Organism family: Ixodidae.,v5,-1,,,,,,,,,,,
anabolic rate,mean anabolic rate,uW mg-1,Coleoptera,Coccinellidae,Trait: anabolic rate. Definition: mean anabolic rate. Unit: uW mg-1. Organism order: Coleoptera. Organism family: Coccinellidae.,v5,-1,,,,,,,,,,,
blood feeding,percent taking one bloodmeal,percent,Diptera,Culicidae,Trait: blood feeding. Definition: percent taking one bloodmeal. Unit: percent. Organism order: Diptera. Organism family: Culicidae.,v5,-1,,,,,,,,,,,
blood feeding,mean lifetime blood feeds,blood meals individual-1,Diptera,Culicidae,Trait: blood feeding. Definition: mean lifetime blood feeds. Unit: blood meals individual-1. Organism order: Diptera. Organism family: Culicidae.,v5,-1,,,,,,,,,,,
blood feeding frequency,mean lifetime blood meals individual-1,blood meals,Diptera,Culicidae,Trait: blood feeding frequency. Definition: mean lifetime blood meals individual-1. Unit: blood meals. Organism order: Diptera. Organism family: Culicidae.,v5,-1,,,,,,,,,,,
bloodmeal weight,individual-level weight of bloodmeal,mg,Diptera,Culicidae,Trait: bloodmeal weight. Definition: individual-level weight of bloodmeal. Unit: mg. Organism order: Diptera. Organism family: Culicidae.,v5,-1,,,,,,,,,,,
body length,replicate-level mean body length,mm,Hemiptera,Aphididae,Trait: body length. Definition: replicate-level mean body length. Unit: mm. Organism order: Hemiptera. Organism family: Aphididae.,v5,-1,,,,,,,,,,,
body size,mean width,mm,Coleoptera,Coccinellidae,Trait: body size. Definition: mean width. Unit: mm. Organism order: Coleoptera. Organism family: Coccinellidae.,v5,-1,,,,,,,,,,,
body size,mean head width,mm,Diptera,Culicidae,Trait: body size. Definition: mean head width. Unit: mm. Organism order: Diptera. Organism family: Culicidae.,v5,-1,,,,,,,,,,,
body size,mean thorax length,mm,Diptera,Drosophilidae,Trait: body size. Definition: mean thorax length. Unit: mm. Organism order: Diptera. Organism family: Drosophilidae.,v5,-1,,,,,,,,,,,
chill-coma recovery time,mean duration for individuals to regain full movement after being cold shocked as function of growth temperature,minutes,Coleoptera,Tenebrionidae,Trait: chill-coma recovery time. Definition: mean duration for individuals to regain full movement after being cold shocked as function of growth temperature. Unit: minutes. Organism order: Coleoptera. Organism family: Tenebrionidae.,v5,-1,,,,,,,,,,,
chill-coma recovery time,mean duration for individuals to regain full movement after being cold shocked as function of adult temperature,minutes,Coleoptera,Tenebrionidae,Trait: chill-coma recovery time. Definition: mean duration for individuals to regain full movement after being cold shocked as function of adult temperature. Unit: minutes. Organism order: Coleoptera. Organism family: Tenebrionidae.,v5,-1,,,,,,,,,,,
cold hardiness,percent of eggs hatched after being exposed to freezing temperatures for a given duration of time,percent,Hemiptera,Liviidae,Trait: cold hardiness. Definition: percent of eggs hatched after being exposed to freezing temperatures for a given duration of time. Unit: percent. Organism order: Hemiptera. Organism family: Liviidae.,v5,-1,,,,,,,,,,,
consumption rate,mean relative consumption rate,mg of aphids,Coleoptera,Coccinellidae,Trait: consumption rate. Definition: mean relative consumption rate. Unit: mg of aphids. Organism order: Coleoptera. Organism family: Coccinellidae.,v5,-1,,,,,,,,,,,
copulation duration,mean copulation duration,hours individual-1 lifetime-1,Coleoptera,Coccinellidae,Trait: copulation duration. Definition: mean copulation duration. Unit: hours individual-1 lifetime-1. Organism order: Coleoptera. Organism family: Coccinellidae.,v5,-1,,,,,,,,,,,
development duration,period at 4th instar,days,Hemiptera,Aphididae,Trait: development duration. Definition: period at 4th instar. Unit: days. Organism order: Hemiptera. Organism family: Aphididae.,v5,-1,,,,,,,,,,,
development time,median duration for egg development,days,Odonata,Libellulidae,Trait: development time. Definition: median duration for egg development. Unit: days. Organism order: Odonata. Organism family: Libellulidae.,v5,-1,,,,,,,,,,,
development time,mean duration for egg development,days,Odonata,Libellulidae,Trait: development time. Definition: mean duration for egg development. Unit: days. Organism order: Odonata. Organism family: Libellulidae.,v5,-1,,,,,,,,,,,
egg viability,mean percentage of viable eggs produced per female,eggs individual-1,Coleoptera,Curculionidae,Trait: egg viability. Definition: mean percentage of viable eggs produced per female. Unit: eggs individual-1. Organism order: Coleoptera. Organism family: Curculionidae.,v5,-1,,,,,,,,,,,
engorgement period,mean time required for females to become engorged,days,Ixodida,Ixodidae,Trait: engorgement period. Definition: mean time required for females to become engorged. Unit: days. Organism order: Ixodida. Organism family: Ixodidae.,v5,-1,,,,,,,,,,,
engorgement period,average duration of engorgement on calves,days,Ixodida,Ixodidae,Trait: engorgement period. Definition: average duration of engorgement on calves. Unit: days. Organism order: Ixodida. Organism family: Ixodidae.,v5,-1,,,,,,,,,,,
engorgement period,average duration of engorgement on rabbits,days,Ixodida,Ixodidae,Trait: engorgement period. Definition: average duration of engorgement on rabbits. Unit: days. Organism order: Ixodida. Organism family: Ixodidae.,v5,-1,,,,,,,,,,,
fat consumption rate,mean daily rate of fat consumption,mg day-1,Diptera,Glossinidae,Trait: fat consumption rate. Definition: mean daily rate of fat consumption. Unit: mg day-1. Organism order: Diptera. Organism family: Glossinidae.,v5,-1,,,,,,,,,,,
fat content,mean lipid content per individual,ug mg-1 individual-1,Coleoptera,Curculionidae,Trait: fat content. Definition: mean lipid content per individual. Unit: ug mg-1 individual-1. Organism order: Coleoptera. Organism family: Curculionidae.,v5,-1,,,,,,,,,,,
feeding behavior,initiation of stylet penetration of leaf tissue,percent,Hemiptera,Aphididae,Trait: feeding behavior. Definition: initiation of stylet penetration of leaf tissue. Unit: percent. Organism order: Hemiptera. Organism family: Aphididae.,v5,-1,,,,,,,,,,,
feeding preference,mean number of individual ticks selecting to feed on human (see notes for %),individuals,Ixodida,Ixodidae,Trait: feeding preference. Definition: mean number of individual ticks selecting to feed on human (see notes for %). Unit: individuals. Organism order: Ixodida. Organism family: Ixodidae.,v5,-1,,,,,,,,,,,
feeding rate,mean lifetime feeding punctures,feeding punctures individual-1,Coleoptera,Curculionidae,Trait: feeding rate. Definition: mean lifetime feeding punctures. Unit: feeding punctures individual-1. Organism order: Coleoptera. Organism family: Curculionidae.,v5,-1,,,,,,,,,,,
feeding time,time required for larval ticks to reach engorgement post attachment,days,Ixodida,Ixodidae,Trait: feeding time. Definition: time required for larval ticks to reach engorgement post attachment. Unit: days. Organism order: Ixodida. Organism family: Ixodidae.,v5,-1,,,,,,,,,,,
fertility,percentage of females that laid fertile eggs,percent,Ixodida,Ixodidae,Trait: fertility. Definition: percentage of females that laid fertile eggs. Unit: percent. Organism order: Ixodida. Organism family: Ixodidae.,v5,-1,,,,,,,,,,,
glycogen content,mean glycogen content per individual,ug,Diptera,Culicidae,Trait: glycogen content. Definition: mean glycogen content per individual. Unit: ug. Organism order: Diptera. Organism family: Culicidae.,v5,-1,,,,,,,,,,,
growth rate,mean daily growth rate (the product of ln pupal weight divided by larval development time),ln(mg day-1),Coleoptera,Chrysomelidae,Trait: growth rate. Definition: mean daily growth rate (the product of ln pupal weight divided by larval development time). Unit: ln(mg day-1). Organism order: Coleoptera. Organism family: Chrysomelidae.,v5,-1,,,,,,,,,,,
growth rate,mean relative growth rate (ln(adult moult weight (ug)) - ln(birth wt (ug))/development time),ug ug-1 day-1,Hemiptera,Aphididae,Trait: growth rate. Definition: mean relative growth rate (ln(adult moult weight (ug)) - ln(birth wt (ug))/development time). Unit: ug ug-1 day-1. Organism order: Hemiptera. Organism family: Aphididae.,v5,-1,,,,,,,,,,,
hardening period,mean time for a tick to become hardened,days,Ixodida,Ixodidae,Trait: hardening period. Definition: mean time for a tick to become hardened. Unit: days. Organism order: Ixodida. Organism family: Ixodidae.,v5,-1,,,,,,,,,,,
hatch time,mean duration of life stage,hours,Coleoptera,Chrysomelidae,Trait: hatch time. Definition: mean duration of life stage. Unit: hours. Organism order: Coleoptera. Organism family: Chrysomelidae.,v5,-1,,,,,,,,,,,
hatching period,mean time from initiation to completion of hatching,days,Ixodida,Ixodidae,Trait: hatching period. Definition: mean time from initiation to completion of hatching. Unit: days. Organism order: Ixodida. Organism family: Ixodidae.,v5,-1,,,,,,,,,,,
hatching range,range of the number of days all eggs hatched from when the first egg hatching started,days,Odonata,Libellulidae,Trait: hatching range. Definition: range of the number of days all eggs hatched from when the first egg hatching started. Unit: days. Organism order: Odonata. Organism family: Libellulidae.,v5,-1,,,,,,,,,,,
hatching rate,mean duration of life stage,percent,Homoptera,Pseudococcidae,Trait: hatching rate. Definition: mean duration of life stage. Unit: percent. Organism order: Homoptera. Organism family: Pseudococcidae.,v5,-1,,,,,,,,,,,
head capsule width,mean width of head capsule,mm,Hemiptera,Liviidae,Trait: head capsule width. Definition: mean width of head capsule. Unit: mm. Organism order: Hemiptera. Organism family: Liviidae.,v5,-1,,,,,,,,,,,
heat knockdown time,mean duration individuals can tolerate heat exposure before movement ceases as a function of adult temperature,minutes,Coleoptera,Tenebrionidae,Trait: heat knockdown time. Definition: mean duration individuals can tolerate heat exposure before movement ceases as a function of adult temperature. Unit: minutes. Organism order: Coleoptera. Organism family: Tenebrionidae.,v5,-1,,,,,,,,,,,
heat knockdown time,mean duration individuals can tolerate heat exposure before movement ceases as a function of sex and growth temperature,minutes,Coleoptera,Tenebrionidae,Trait: heat knockdown time. Definition: mean duration individuals can tolerate heat exposure before movement ceases as a function of sex and growth temperature. Unit: minutes. Organism order: Coleoptera. Organism family: Tenebrionidae.,v5,-1,,,,,,,,,,,
hypostome length,mean length of hypostome (appendage on the mouth),mm,Ixodida,Ixodidae,Trait: hypostome length. Definition: mean length of hypostome (appendage on the mouth). Unit: mm. Organism order: Ixodida. Organism family: Ixodidae.,v5,-1,,,,,,,,,,,
interlarval period,mean frequency of larval production,days,Diptera,Glossinidae,Trait: interlarval period. Definition: mean frequency of larval production. Unit: days. Organism order: Diptera. Organism family: Glossinidae.,v5,-1,,,,,,,,,,,
juvenile life span,individual-level duration from hatching to death or adult eclosion,days,Diptera,Culicidae,Trait: juvenile life span. Definition: individual-level duration from hatching to death or adult eclosion. Unit: days. Organism order: Diptera. Organism family: Culicidae.,v5,-1,,,,,,,,,,,
knockdown time,mean time for 50% knockdown of femelaes under exposure to deltamethrin concentration (see notes),minutes,Diptera,Culicidae,Trait: knockdown time. Definition: mean time for 50% knockdown of femelaes under exposure to deltamethrin concentration (see notes). Unit: minutes. Organism order: Diptera. Organism family: Culicidae.,v5,-1,,,,,,,,,,,
life cycle,mean duration of entire life cycle,days,Homoptera,Aphididae,Trait: life cycle. Definition: mean duration of entire life cycle. Unit: days. Organism order: Homoptera. Organism family: Aphididae.,v5,-1,,,,,,,,,,,
lifespan,mean duration of entire life,days,Ixodida,Ixodidae,Trait: lifespan. Definition: mean duration of entire life. Unit: days. Organism order: Ixodida. Organism family: Ixodidae.,v5,-1,,,,,,,,,,,
lifespan,mean duration of entrie lifespan (from egg to adult death),days,Hymenoptera,Eulophidae,Trait: lifespan. Definition: mean duration of entrie lifespan (from egg to adult death). Unit: days. Organism order: Hymenoptera. Organism family: Eulophidae.,v5,-1,,,,,,,,,,,
lipid content,mean lipid content per individual,ug,Diptera,Culicidae,Trait: lipid content. Definition: mean lipid content per individual. Unit: ug. Organism order: Diptera. Organism family: Culicidae.,v5,-1,,,,,,,,,,,
lipid content,median proportion of lipid content of the tick- calculated by (dried weight - lipid weight) / dried weight,NA,Ixodida,Ixodidae,Trait: lipid content. Definition: median proportion of lipid content of the tick- calculated by (dried weight - lipid weight) / dried weight. Unit: NA. Organism order: Ixodida. Organism family: Ixodidae.,v5,-1,,,,,,,,,,,
longevity,median adult lifespan,days,Diptera,Culicidae,Trait: longevity. Definition: median adult lifespan. Unit: days. Organism order: Diptera. Organism family: Culicidae.,v5,-1,,,,,,,,,,,
longevity,duration for 50% mortality,days,Ixodida,Ixodidae,Trait: longevity. Definition: duration for 50% mortality. Unit: days. Organism order: Ixodida. Organism family: Ixodidae.,v5,-1,,,,,,,,,,,
longevity,individual-level duration of adult female life stage,days,Ixodida,Ixodidae,Trait: longevity. Definition: individual-level duration of adult female life stage. Unit: days. Organism order: Ixodida. Organism family: Ixodidae.,v5,-1,,,,,,,,,,,
mortality,mean duration of life stage,days,Homoptera,Pseudococcidae,Trait: mortality. Definition: mean duration of life stage. Unit: days. Organism order: Homoptera. Organism family: Pseudococcidae.,v5,-1,,,,,,,,,,,
mortality,cummulative mortality percentage across immature stages,percent,Coleoptera,Coccinellidae,Trait: mortality. Definition: cummulative mortality percentage across immature stages. Unit: percent. Organism order: Coleoptera. Organism family: Coccinellidae.,v5,-1,,,,,,,,,,,
mortality,time to 50% mortality,days,Acari,Tetranychidae,Trait: mortality. Definition: time to 50% mortality. Unit: days. Organism order: Acari. Organism family: Tetranychidae.,v5,-1,,,,,,,,,,,
mortality,number of dead individuals per group,individuals,Ixodida,Ixodidae,Trait: mortality. Definition: number of dead individuals per group. Unit: individuals. Organism order: Ixodida. Organism family: Ixodidae.,v5,-1,,,,,,,,,,,
mortality,time taken for 50% of adults to die,days,Diptera,Culicidae,Trait: mortality. Definition: time taken for 50% of adults to die. Unit: days. Organism order: Diptera. Organism family: Culicidae.,v5,-1,,,,,,,,,,,
mortality (larval),duration for 100% mortality (unfed larvae),weeks,Ixodida,Ixodidae,Trait: mortality (larval). Definition: duration for 100% mortality (unfed larvae). Unit: weeks. Organism order: Ixodida. Organism family: Ixodidae.,v5,-1,,,,,,,,,,,
mortality (nymphal),duration for 50% mortality (unfed nymphs),weeks,Ixodida,Ixodidae,Trait: mortality (nymphal). Definition: duration for 50% mortality (unfed nymphs). Unit: weeks. Organism order: Ixodida. Organism family: Ixodidae.,v5,-1,,,,,,,,,,,
mortality rate,inverse of mean longevity,days-1,Hemiptera,Aphididae,Trait: mortality rate. Definition: inverse of mean longevity. Unit: days-1. Organism order: Hemiptera. Organism family: Aphididae.,v5,-1,,,,,,,,,,,
nymph production,number of nymphs produced / female,number of nymphs produced / female,Hemiptera,Aphididae,Trait: nymph production. Definition: number of nymphs produced / female. Unit: number of nymphs produced / female. Organism order: Hemiptera. Organism family: Aphididae.,v5,-1,,,,,,,,,,,
oocyst intensity,not stated,not stated,Diptera,Culicidae,Trait: oocyst intensity. Definition: not stated. Unit: not stated. Organism order: Diptera. Organism family: Culicidae.,v5,-1,,,,,,,,,,,
oocyst prevalence,not stated,percent,Diptera,Culicidae,Trait: oocyst prevalence. Definition: not stated. Unit: percent. Organism order: Diptera. Organism family: Culicidae.,v5,-1,,,,,,,,,,,
ovariole number,mean number of ovarioles per individual,ovarioles individual-1,Hemiptera,Aphididae,Trait: ovariole number. Definition: mean number of ovarioles per individual. Unit: ovarioles individual-1. Organism order: Hemiptera. Organism family: Aphididae.,v5,-1,,,,,,,,,,,
oviposition,period of oviposition in days,days,Hemiptera,Aphididae,Trait: oviposition. Definition: period of oviposition in days. Unit: days. Organism order: Hemiptera. Organism family: Aphididae.,v5,-1,,,,,,,,,,,
oviposition,daily average number of eggs / female,eggs,Ixodida,Ixodidae,Trait: oviposition. Definition: daily average number of eggs / female. Unit: eggs. Organism order: Ixodida. Organism family: Ixodidae.,v5,-1,,,,,,,,,,,
