OriginalTraitName,OriginalTraitDef,OriginalTraitUnit,Interactor1Order,Interactor1Family,Interactor1Stage,text,version,cluster_id
development time,mean duration of life stage,days,Hemiptera,Aphididae,juvenile,Trait: development time. Definition: mean duration of life stage. Unit: days. Organism order: Hemiptera. Organism family: Aphididae. Life stage: juvenile.,v6,15
fecundity,mean lifetime offspring,offspring individual-1,Hemiptera,Aphididae,adult,Trait: fecundity. Definition: mean lifetime offspring. Unit: offspring individual-1. Organism order: Hemiptera. Organism family: Aphididae. Life stage: adult.,v6,3
longevity,mean duration of life stage,days,Hemiptera,Aphididae,adult,Trait: longevity. Definition: mean duration of life stage. Unit: days. Organism order: Hemiptera. Organism family: Aphididae. Life stage: adult.,v6,13
reproductive period,mean duration of life stage,days,Hemiptera,Aphididae,adult,Trait: reproductive period. Definition: mean duration of life stage. Unit: days. Organism order: Hemiptera. Organism family: Aphididae. Life stage: adult.,v6,18
survival,proportion surviving life stage,proportion,Hemiptera,Aphididae,juvenile (not inc egg stage),Trait: survival. Definition: proportion surviving life stage. Unit: proportion. Organism order: Hemiptera. Organism family: Aphididae. Life stage: juvenile (not inc egg stage).,v6,11
mortality rate,per capita daily mortality,individual-1 day-1,Diptera,Culicidae,adult,Trait: mortality rate. Definition: per capita daily mortality. Unit: individual-1 day-1. Organism order: Diptera. Organism family: Culicidae. Life stage: adult.,v6,11
ovipositional period,mean duration of life stage,days,Hemiptera,Pseudococcidae,adult,Trait: ovipositional period. Definition: mean duration of life stage. Unit: days. Organism order: Hemiptera. Organism family: Pseudococcidae. Life stage: adult.,v6,19
survival,percent surviving life stage,percent,Hemiptera,Pseudococcidae,juvenile (inc egg stage),Trait: survival. Definition: percent surviving life stage. Unit: percent. Organism order: Hemiptera. Organism family: Pseudococcidae. Life stage: juvenile (inc egg stage).,v6,11
development time,median duration of life stage,days,Hemiptera,Aleyrodidae,juvenile,Trait: development time. Definition: median duration of life stage. Unit: days. Organism order: Hemiptera. Organism family: Aleyrodidae. Life stage: juvenile.,v6,15
longevity,median duration of life stage,days,Hemiptera,Aleyrodidae,adult,Trait: longevity. Definition: median duration of life stage. Unit: days. Organism order: Hemiptera. Organism family: Aleyrodidae. Life stage: adult.,v6,13
