OriginalTraitName,OriginalTraitDef,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20
development time,mean duration of life stage,7,15,15,12,15,15,18,18,19,24,24,24,24,22,23,22,22,22,22,22
fecundity,mean lifetime offspring,30,10,4,4,5,3,3,3,3,14,14,12,14,14,15,14,13,14,12,12
longevity,mean duration of life stage,9,16,18,14,14,13,14,17,18,21,21,22,22,24,25,24,24,24,25,24
reproductive period,mean duration of life stage,24,17,14,19,19,18,19,19,20,22,22,23,23,25,26,25,25,25,24,25
survival,proportion surviving life stage,13,13,16,15,11,11,13,15,13,8,9,9,9,9,12,12,11,11,11,11
mortality rate,per capita daily mortality,15,-1,-1,15,11,11,13,15,13,8,9,9,9,9,12,12,11,11,11,11
ovipositional period,mean duration of life stage,28,17,14,-1,-1,19,-1,-1,-1,-1,-1,20,-1,-1,-1,-1,-1,-1,-1,-1
survival,percent surviving life stage,13,13,16,15,11,11,13,15,13,8,9,9,9,9,12,12,11,11,-1,11
development time,median duration of life stage,7,15,15,12,15,15,18,18,19,-1,-1,-1,-1,-1,23,-1,-1,-1,-1,-1
longevity,median duration of life stage,9,16,18,14,14,13,14,17,18,21,21,22,22,24,-1,-1,-1,-1,-1,-1
fecundity rate,mean number of nymphs produced individual-1 during a period equivalent to the prereporoductive time,29,10,4,4,5,3,3,3,3,14,14,12,14,14,15,14,13,14,12,12
mortality,percent not surviving life stage,14,11,19,15,11,11,13,15,13,8,9,9,9,9,12,12,11,11,11,11
pre-oviposition period,mean duration from adult emergence to onset of reproduction,27,17,14,19,19,19,19,19,20,23,23,-1,-1,-1,22,-1,-1,-1,-1,-1
fecundity,mean lifetime nymphs individual-1,31,10,4,4,5,3,3,3,3,14,14,12,14,14,15,14,13,14,12,12
fecundity rate,mean eggs individual-1 day-1,29,10,4,4,5,3,3,3,3,-1,-1,13,15,13,13,-1,14,14,-1,-1
fecundity rate,mean offspring per day,29,10,4,4,5,3,3,3,3,14,15,11,11,15,16,15,12,12,14,13
blood feeding frequency,mean lifetime blood meals individual-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
body size,mean wet mass,19,4,7,5,3,6,6,6,5,3,4,3,4,4,3,3,3,2,3,3
development time,mean duration period from aphid birth to its first reproduction,7,15,15,12,15,15,18,18,19,24,24,24,24,22,23,22,22,22,22,22
fecundity,mean number of progeny in a reproductive period equal to development time,30,10,4,4,5,3,3,3,3,14,14,12,14,14,15,14,13,14,12,12
body size,mean wing length (mm),19,-1,6,5,3,6,-1,-1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
longevity,median adult lifespan,9,16,18,14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
ovipositioning,proportion of blood fed mosquitoes laying egg rafts,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
development rate,mean rate of life stage completion,6,15,15,12,15,15,18,18,19,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
fecundity,mean lifetime eggs individual-1,30,10,4,4,5,3,3,3,3,11,12,13,15,13,13,13,14,15,15,13
egg viability,mean percentage of viable eggs produced per female,21,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
fecundity,mean eggs produced per plant,30,10,4,4,5,3,3,3,3,11,12,13,15,13,13,13,14,15,15,13
fat content,mean lipid content per individual,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
development rate,rate of life stage completion,6,15,15,12,15,15,18,18,19,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
pre-blood meal period,average duration from emergence to first blood meal,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
fecundity,mean number of eggs per cycle,30,10,4,4,5,3,3,3,3,10,11,10,10,12,11,11,10,10,10,10
gonotrophic cycle,mean number of gonotrophic cycles completed in individuals lifetime,2,1,2,1,1,1,1,1,1,2,2,2,2,2,2,2,2,4,2,2
resource consumption rate,mean daily resource consumption rate,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
blood feeding,percent taking one bloodmeal,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
transmission potential,percent of individuals with transmission potential,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
post-oviposition period,mean duration of life stage,-1,17,14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
fecundity,mean lifetime egg punctures,30,10,4,4,5,3,3,3,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
lipid content,mean lipid content per individual,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
protein content,mean protein content per individual,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
glycogen content,mean glycogen content per individual,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
body size,mean wet mass (waxless and gravid),19,4,7,5,3,6,6,6,5,3,4,3,4,4,3,3,3,2,3,3
fecundity rate,mean eggs per unit time,29,10,4,4,5,3,3,3,3,11,12,13,15,13,13,13,14,15,15,13
fecundity rate,mean offspring per unit time,29,10,4,4,5,3,3,3,3,14,14,12,14,14,15,14,13,14,12,12
ovariole number,mean number of ovarioles per individual,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
reproductive capacity,mean lifetime nymphs (30 days),-1,-1,4,4,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
mortality rate,mean per capita rate of mortality during life stage,15,11,19,15,11,11,13,15,13,8,9,9,9,9,12,12,11,11,11,11
pre-reproductive period,mean duration of life stage,23,17,14,19,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
fecundity,mean lifetime eggs per 10 individuals,30,10,4,4,5,3,3,3,3,10,11,10,10,12,11,11,10,10,10,10
hatching rate,percent surviving life stage,21,12,12,6,8,4,5,5,6,4,3,-1,3,6,-1,-1,-1,-1,5,5
hatching rate,mean duration of life stage,21,12,12,-1,-1,4,5,5,6,4,3,-1,-1,-1,-1,-1,-1,-1,-1,-1
mortality,mean duration of life stage,14,11,19,15,-1,-1,-1,15,13,8,-1,-1,-1,9,-1,-1,-1,-1,-1,-1
body size,mean length,19,4,6,5,3,6,6,6,5,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
body size,mean width,19,4,6,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
resource consumption rate,mean lifetime prey consumed,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
age specific fecundity,mean number of female offspring individual-1 at specific age,-1,-1,4,-1,5,3,3,3,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
fecundity,mean number of female offspring individual-1,30,10,4,4,5,3,3,3,3,-1,15,11,11,15,-1,-1,-1,-1,-1,-1
development time,mean duration of life cycle (egg-to-egg),7,15,15,12,15,15,18,18,19,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
fecundity,mean lifetime eggs per individual (across all humdity levels),30,10,4,4,5,3,3,3,3,11,12,13,15,13,13,13,14,15,15,13
fecundity,mean lifetime eggs per individual,30,10,4,4,5,3,3,3,3,11,12,13,15,13,13,13,14,15,15,13
survival,percent surviving life stage (across all humidity levels),13,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
development time,mean duration of life stage (across all humidity levels),7,15,15,12,15,15,18,18,19,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
mortality,cummulative mortality percentage across immature stages,14,11,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,-1,-1,-1,-1,-1,-1
hatch time,mean duration of life stage,21,-1,-1,-1,-1,-1,-1,-1,6,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
development time,mean duration for 50 percent of eggs to hatch,8,15,15,12,15,15,18,18,19,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
fecundity rate,maximum progengy individual-1 day-1,29,10,4,4,5,3,3,3,3,14,14,12,14,14,15,14,13,14,12,12
gonotrophic cycle,mean duration of gonotrophic cycle (7th),2,1,2,1,1,1,1,1,1,2,2,2,2,2,2,2,2,4,2,2
fecundity,mean number of eggs per cycle (1st),31,10,4,4,5,3,3,3,3,10,11,10,10,12,11,11,10,10,10,10
mortality,proportion not surviving life stage,14,11,19,15,11,11,13,15,13,8,9,9,9,9,12,12,11,11,11,11
development time,median duration for egg development,8,15,15,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
development time,mean duration for egg development,8,15,15,12,-1,15,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
hatching range,range of the number of days all eggs hatched from when the first egg hatching started,21,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
fecundity rate,mean lifetime offspring,29,10,4,4,5,3,3,3,3,14,14,12,14,14,15,14,13,14,12,12
pre-reproductive period,mean duration from adult emergence to onset of reproduction,23,17,14,19,19,18,19,19,20,22,22,23,23,25,26,25,25,25,24,25
age at first reproduction,mean age at first reproduction,-1,17,14,19,19,18,19,19,20,22,22,23,23,25,26,25,25,25,24,25
body size,mean dry mass,19,4,7,5,3,6,6,6,5,3,5,4,5,5,4,4,4,3,4,4
body size,mean head width,19,-1,6,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
fecundity,mean offspring per reproduction day,30,10,4,4,5,3,3,3,3,14,14,12,14,14,15,14,13,14,12,12
chill-coma recovery time,mean duration for individuals to regain full movement after being cold shocked as function of growth temperature,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
chill-coma recovery time,mean duration for individuals to regain full movement after being cold shocked as function of adult temperature,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
heat knockdown time,mean duration individuals can tolerate heat exposure before movement ceases as a function of adult temperature,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
heat knockdown time,mean duration individuals can tolerate heat exposure before movement ceases as a function of sex and growth temperature,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
fecundity,mean lifetime offspring as a function of size and adult and growth temperature,30,10,4,4,5,3,3,3,3,-1,12,13,15,13,13,13,14,15,15,13
body size,mean thorax length,19,4,6,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
