version,k_fields,last_field_added,fields,n_clusters,n_noise,noise_rate,avg_cluster_size
V1,1,name,name,32,104,0.2256,11.16
V2,2,def,name+def,19,151,0.3275,16.32
V3,3,unit,name+def+unit,22,132,0.2863,14.95
V4,4,order,name+def+unit+order,21,128,0.2777,15.86
V5,5,family,name+def+unit+order+family,21,125,0.2711,16
V6,6,stage,name+def+unit+order+family+stage,20,124,0.269,16.85
V7,7,class,name+def+unit+order+family+stage+class,21,124,0.269,16.05
V8,8,phylum,name+def+unit+order+family+stage+class+phylum,21,121,0.2625,16.19
V9,9,kingdom,name+def+unit+order+family+stage+class+phylum+kingdom,22,111,0.2408,15.91
V10,10,genus,name+def+unit+order+family+stage+class+phylum+kingdom+genus,26,146,0.3167,12.12
V11,11,species,name+def+unit+order+family+stage+class+phylum+kingdom+genus+species,26,152,0.3297,11.88
V12,12,habitat,name+def+unit+order+family+stage+class+phylum+kingdom+genus+species+habitat,26,153,0.3319,11.85
V13,13,labfield,name+def+unit+order+family+stage+class+phylum+kingdom+genus+species+habitat+labfield,26,156,0.3384,11.73
V14,14,loctype,name+def+unit+order+family+stage+class+phylum+kingdom+genus+species+habitat+labfield+loctype,26,145,0.3145,12.15
V15,15,location,name+def+unit+order+family+stage+class+phylum+kingdom+genus+species+habitat+labfield+loctype+location,27,157,0.3406,11.26
V16,16,temp,name+def+unit+order+family+stage+class+phylum+kingdom+genus+species+habitat+labfield+loctype+location+temp,26,157,0.3406,11.69
V17,17,tempunit,name+def+unit+order+family+stage+class+phylum+kingdom+genus+species+habitat+labfield+loctype+location+temp+tempunit,26,158,0.3427,11.65
V18,18,lat,name+def+unit+order+family+stage+class+phylum+kingdom+genus+species+habitat+labfield+loctype+location+temp+tempunit+lat,26,162,0.3514,11.5
V19,19,long,name+def+unit+order+family+stage+class+phylum+kingdom+genus+species+habitat+labfield+loctype+location+temp+tempunit+lat+long,26,166,0.3601,11.35
V20,20,coordtype,name+def+unit+order+family+stage+class+phylum+kingdom+genus+species+habitat+labfield+loctype+location+temp+tempunit+lat+long+coordtype,26,163,0.3536,11.46
