OriginalTraitName,OriginalTraitDef,include_basis,V1,V2,V3,V4,V5,V6,V7,V8,V20
Oviposition Rate,mean number of eggs per female,name,-1,-1,-1,-1,-1,-1,-1,-1,-1
Reproductive average daily fecundity,the number of newborn nymphs (N1) per female per day,name,-1,10,4,4,5,3,3,3,-1
Reproductive average total fecundity,the number of newborn nymphs (N1) per female,name,-1,10,4,4,5,3,3,3,-1
age specific fecundity,mean number of female offspring individual-1 at specific age,name,-1,-1,4,-1,5,3,3,3,-1
age-specific daily fecundity,new nymphs produced each day,name,-1,10,4,4,5,3,3,3,-1
average daily fecundity,daily fecundity of female aphids,name,-1,-1,4,-1,5,3,3,3,-1
effective fecundity,mean number of nymphs produced individual-1 during a period equivalent to the prereporoductive time,name,-1,10,4,4,5,3,3,3,12
egg count,mean number of eggs layed,name,10,-1,-1,-1,6,-1,-1,-1,-1
fecundity,individual-level lifetime eggs,name,30,10,4,4,5,3,3,3,10
fecundity,individual-level mean eggs per gonotrophic cycle,name,30,10,4,4,5,3,3,3,10
fecundity,individual-level weight of lifetime eggs per individual,name,30,10,4,4,5,3,3,3,14
fecundity,mean duration of life stage,name,30,10,4,4,5,3,3,3,12
fecundity,mean eggs individual-1,name,30,10,4,4,5,3,3,3,-1
fecundity,mean eggs produced per plant,name,30,10,4,4,5,3,3,3,13
fecundity,mean lifetime egg punctures,name,30,10,4,4,5,3,3,3,-1
fecundity,mean lifetime eggs,name,30,10,4,4,5,3,3,3,10
fecundity,mean lifetime eggs individual-1,name,30,10,4,4,5,3,3,3,13
fecundity,mean lifetime eggs laid per female,name,31,10,4,4,5,3,3,3,14
fecundity,mean lifetime eggs per 10 individuals,name,30,10,4,4,5,3,3,3,10
fecundity,mean lifetime eggs per individual,name,30,10,4,4,5,3,3,3,13
fecundity,mean lifetime eggs per individual (across all humdity levels),name,30,10,4,4,5,3,3,3,13
fecundity,mean lifetime eggs produced by an individual female,name,30,10,4,4,5,3,3,3,14
fecundity,mean lifetime nymphs individual-1,name,31,10,4,4,5,3,3,3,12
fecundity,mean lifetime offspring,name,30,10,4,4,5,3,3,3,12
fecundity,mean lifetime offspring as a function of size and adult and growth temperature,name,30,10,4,4,5,3,3,3,13
fecundity,mean lifetime progeny,name,30,10,4,4,5,3,3,3,12
fecundity,mean lifetime progeny per female,name,30,10,4,4,5,3,3,3,12
fecundity,mean lifetime total number of nymphs,name,31,10,4,4,5,3,3,3,12
fecundity,mean liftetime eggs,name,31,10,4,4,5,3,3,3,-1
fecundity,mean number of eggs per cycle,name,30,10,4,4,5,3,3,3,10
fecundity,mean number of eggs per cycle (1st),name,31,10,4,4,5,3,3,3,10
fecundity,mean number of female offspring individual-1,name,30,10,4,4,5,3,3,3,-1
fecundity,mean number of lifetime eggs by a tick,name,31,10,4,4,5,3,3,3,14
fecundity,mean number of progeny in a reproductive period equal to development time,name,30,10,4,4,5,3,3,3,12
fecundity,mean of daily newborn nymph counts,name,30,10,4,4,5,3,3,3,12
