OriginalTraitName,total_rows,n_definitions,n_units,n_genera,taxa_specific,capitalisation_issue
development time,16006,21,8,92,,YES
survival,6976,8,9,56,,
body size,2265,23,4,27,,
longevity,2018,15,4,58,,YES
juvenile life span,1885,1,1,1,YES,
fecundity,1793,32,24,64,,
mortality,939,9,4,33,,
cold hardiness,934,1,1,1,YES,
survival rate,537,16,1,8,,
development rate,524,7,3,21,,YES
fecundity rate,474,20,9,30,,
pre-reproductive period,315,5,4,21,,
mortality rate,310,5,3,3,YES,YES
reproductive period,259,3,2,13,,
recovery time,210,1,1,1,YES,
weight loss,195,9,3,5,,YES
oocyst prevalence,179,1,1,1,YES,
ovipositional period,177,4,1,19,,
gonotrophic cycle,174,3,2,1,YES,
starvation tolerance,164,1,1,1,YES,
preoviposition period,155,10,1,7,,
egg mass,151,3,1,2,YES,YES
gonotrophic cycle 1,150,1,1,1,YES,
survival time,149,9,2,3,YES,
post-reproductive period,136,2,3,13,,
molting period,129,1,1,1,YES,YES
pre-oviposition period,122,1,1,18,,YES
resource consumption rate,122,2,3,3,YES,
age specific fecundity,114,1,1,1,YES,
life cycle,107,1,1,11,,
premolt period (nymphal),104,3,1,6,,
Weight,103,8,2,1,YES,YES
incubation period,101,8,1,5,,YES
age at first reproduction,100,4,2,9,,
sporozoite prevalence,94,1,1,1,,
percent survival,91,1,1,2,,
temperature thresholds for oviposition,90,1,1,1,,
growth rate,81,2,2,2,,
metabolic rate,81,5,5,4,,
premolt period (larval),79,3,1,5,,
hatch rate,74,3,1,4,,
oocyst intensity,73,1,1,1,,
age-specific daily fecundity,70,1,1,2,,
development duration,65,1,1,1,,
developmental time,60,2,1,2,,
gonotrophic cycle 2,59,1,1,1,,
oviposition,57,3,2,3,,
average daily fecundity,56,1,1,1,,
Development time,54,1,1,1,,YES
Water loss,54,2,1,6,,
viral load,52,1,1,1,,
adult longevity,48,3,1,3,,
bloodmeal weight,45,1,1,1,,
Development Rate,44,3,1,1,,YES
conversion efficiency index,44,2,2,3,,
feeding behavior,42,1,1,2,,
hatchability,41,4,1,3,,
metabolic rate (standard),40,1,1,1,,
Body Mass,39,4,1,1,,YES
fat consumption rate,38,1,1,1,,
molt success rate (larval),38,2,1,4,,
questing,38,1,1,1,,
Mortality Rate,36,3,2,1,,YES
Pre-reproductive average,36,1,1,1,,
lipid content,36,2,1,2,,
metabolic rate (resting),36,1,2,1,,
feeding time,34,3,1,3,,
Molting Period,32,1,1,1,,YES
percent moult,31,2,3,1,,
premolting period,31,3,1,1,,
weight,31,8,2,1,,YES
