trait_category,OriginalTraitName,OriginalTraitDef,ground_truth_source
Body mass / weight,Body Mass,Weight of an individual engorged female,body_size_tracking.csv
Body mass / weight,Body Mass,mean daily weight of larvae during their feeding periods,body_size_tracking.csv
Body mass / weight,Body Mass,mean daily weight of nymphs during their feeding periods,body_size_tracking.csv
Body mass / weight,Body Mass,mean daily weight of nymphs during their pharate periods,body_size_tracking.csv
Body mass / weight,Weight,Weight of an individual engorged female in grams held at constant temperature,body_size_tracking.csv
Body mass / weight,Weight,Weight of undisturbed female Hyalomma impeltatum after engorgement,body_size_tracking.csv
Body mass / weight,Weight,Weight of undisturbed female Hyalomma impeltatum after feeding (14 days post-molt),body_size_tracking.csv
Body mass / weight,Weight,Weight of undisturbed female Hyalomma impeltatum after molting,body_size_tracking.csv
Body mass / weight,Weight,mean weight of engorged nymphs moulting to males,body_size_tracking.csv
Body mass / weight,Weight,mean weight of larvae during their feeding period,body_size_tracking.csv
Body mass / weight,Weight,mean weight of nymphs during their feeding period,body_size_tracking.csv
Body mass / weight,body mass,mean weight of female,body_size_tracking.csv
Body mass / weight,body size,dry mass,body_size_tracking.csv
Body mass / weight,body size,individual-level mass,body_size_tracking.csv
Body mass / weight,body size,individual-level wet mass,body_size_tracking.csv
Body mass / weight,body size,mean body weight,body_size_tracking.csv
Body mass / weight,body size,mean body weight of engorged adult females,body_size_tracking.csv
Body mass / weight,body size,mean dry mass,body_size_tracking.csv
Body mass / weight,body size,mean dry mass. relationship between dry mass and wing length,body_size_tracking.csv
Body mass / weight,body size,mean of weight (engorged),body_size_tracking.csv
Body mass / weight,body size,mean of weight (unfed),body_size_tracking.csv
Body mass / weight,body size,mean weight of engored nymphs,body_size_tracking.csv
Body mass / weight,body size,mean weight of engorged tick,body_size_tracking.csv
Body mass / weight,body size,mean weight of nymphs post-feeding,body_size_tracking.csv
Body mass / weight,body size,mean wet mass,body_size_tracking.csv
Body mass / weight,body size,mean wet mass (waxless and gravid),body_size_tracking.csv
Body mass / weight,body size,mean wet mass of an individual tick post engorgement,body_size_tracking.csv
Body mass / weight,body size,mean wet mass on the day feeding was completed,body_size_tracking.csv
Body mass / weight,body size,mean wet mass on the day feeding was completed (engorged),body_size_tracking.csv
Body mass / weight,body size (alate nymph),mean wet mass,body_size_tracking.csv
Body mass / weight,body size (alate),mean wet mass,body_size_tracking.csv
Body mass / weight,body size (apterous nymph),mean wet mass,body_size_tracking.csv
Body mass / weight,body size (apterous),mean wet mass,body_size_tracking.csv
Body mass / weight,body size (mass),mean wet mass,body_size_tracking.csv
Body mass / weight,weight,Mean weight 14 days after hatching,body_size_tracking.csv
Body mass / weight,weight,Mean weight on day of engorgement,body_size_tracking.csv
Body mass / weight,weight,Mean weight on day of hatching,body_size_tracking.csv
Body mass / weight,weight,"Weight of developing Hyalomma impeltatum nymphs held at four different temperatures and 75% relative humidity""",body_size_tracking.csv
Body mass / weight,weight,Weight of undisturbed female Hyalomma impeltatum after engorgement,body_size_tracking.csv
Body mass / weight,weight,Weight of undisturbed female Hyalomma impeltatum after feeding (14 days post-molt),body_size_tracking.csv
Body mass / weight,weight,Weight of undisturbed female Hyalomma impeltatum after molting,body_size_tracking.csv
Development rate,Development Rate,Percent of emerging females who develop on day X after attatchment (premolt period),additional_trait_ground_truth.csv
Development rate,Development Rate,Percent of emerging males who develop on day X after attatchment (premolt period),additional_trait_ground_truth.csv
Development rate,Development Rate,percent of immature stages remaining x days after attatchment,additional_trait_ground_truth.csv
Development rate,Development Rate (Egg),1 / time for egg incubation across const temps,additional_trait_ground_truth.csv
Development rate,Development Rate (Larva),1 / development time of Engorged Larva,additional_trait_ground_truth.csv
Development rate,Development Rate (Nymph),1 / development time of Engorged Nymph,additional_trait_ground_truth.csv
Development rate,development rate,individual-level rate of life stage completion,additional_trait_ground_truth.csv
Development rate,development rate,inverse of the mean duration of life stage,additional_trait_ground_truth.csv
Development rate,development rate,mean development rate per day,additional_trait_ground_truth.csv
Development rate,development rate,mean duration of life stage,additional_trait_ground_truth.csv
Development rate,development rate,mean rate of life stage completion,additional_trait_ground_truth.csv
Development rate,development rate,rate of life stage completion,additional_trait_ground_truth.csv
Development rate,development rate,replicate-level mean rate of life stage completion,additional_trait_ground_truth.csv
Development time,Development time,Mean time from engorgement to moulting,additional_trait_ground_truth.csv
Development time,development duration,period at 4th instar,additional_trait_ground_truth.csv
Development time,development time,duration of life stage,additional_trait_ground_truth.csv
Development time,development time,individual-level duration of life stage,additional_trait_ground_truth.csv
Development time,development time,mean duration for 50 percent of eggs to hatch,additional_trait_ground_truth.csv
Development time,development time,mean duration for egg development,additional_trait_ground_truth.csv
Development time,development time,mean duration from when eggs were deposited to hatch,additional_trait_ground_truth.csv
Development time,development time,mean duration of attachment period,additional_trait_ground_truth.csv
Development time,development time,mean duration of incubation period,additional_trait_ground_truth.csv
Development time,development time,mean duration of juvenile stages and from adult emergence to the onset of reproduction,additional_trait_ground_truth.csv
Development time,development time,mean duration of larval attachment developmental phase,additional_trait_ground_truth.csv
Development time,development time,mean duration of life cycle,additional_trait_ground_truth.csv
Development time,development time,mean duration of life cycle (egg-to-egg),additional_trait_ground_truth.csv
Development time,development time,mean duration of life stage,additional_trait_ground_truth.csv
Development time,development time,mean duration of life stage (across all humidity levels),additional_trait_ground_truth.csv
Development time,development time,mean duration of life stage as a function of rearing food type (secondstressor) and temperature,additional_trait_ground_truth.csv
Development time,development time,mean duration of premoulting period,additional_trait_ground_truth.csv
