trait_category,version,n_concepts,n_noise,n_non_noise,n_clusters_occupied,dominant_n,dominant_cluster_ids,representative_dominant_cluster,dominant_cluster_tie,dominant_cluster_purity,dominant_cluster_purity_min,dominant_cluster_purity_max,dominant_share,non_noise_share,version_number,field_added
Body mass / weight,V1,41,4,37,4,17,19,19,FALSE,0.7391304347826086,0.7391304347826086,0.7391304347826086,0.4146341463414634,0.9024390243902439,1,name
Body mass / weight,V2,41,3,38,2,32,4,4,FALSE,0.6956521739130435,0.6956521739130435,0.6956521739130435,0.7804878048780488,0.926829268292683,2,+ definition
Body mass / weight,V3,41,2,39,3,31,7,7,FALSE,1,1,1,0.7560975609756098,0.9512195121951219,3,+ unit
Body mass / weight,V4,41,0,41,3,21,7,7,FALSE,0.75,0.75,0.75,0.5121951219512195,1,4,+ order
Body mass / weight,V5,41,0,41,3,21,6,6,FALSE,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.5121951219512195,1,5,+ family
Body mass / weight,V6,41,0,41,3,21,7,7,FALSE,0.65625,0.65625,0.65625,0.5121951219512195,1,6,+ stage
Body mass / weight,V7,41,0,41,3,21,7,7,FALSE,0.7,0.7,0.7,0.5121951219512195,1,7,+ class
Body mass / weight,V8,41,0,41,3,21,7,7,FALSE,0.65625,0.65625,0.65625,0.5121951219512195,1,8,+ phylum
Development rate,V1,13,1,12,1,12,6,6,FALSE,0.75,0.75,0.75,0.9230769230769231,0.9230769230769231,1,name
Development rate,V2,13,7,6,1,6,15,15,FALSE,0.21428571428571427,0.21428571428571427,0.21428571428571427,0.46153846153846156,0.46153846153846156,2,+ definition
Development rate,V3,13,6,7,1,7,15,15,FALSE,0.22580645161290322,0.22580645161290322,0.22580645161290322,0.5384615384615384,0.5384615384615384,3,+ unit
Development rate,V4,13,1,12,2,6,12;13,12,TRUE,0.603448275862069,0.20689655172413793,1,0.46153846153846156,0.9230769230769231,4,+ order
Development rate,V5,13,1,12,2,6,13;15,13,TRUE,0.6071428571428572,0.21428571428571427,1,0.46153846153846156,0.9230769230769231,5,+ family
Development rate,V6,13,7,6,1,6,15,15,FALSE,0.21428571428571427,0.21428571428571427,0.21428571428571427,0.46153846153846156,0.46153846153846156,6,+ stage
Development rate,V7,13,2,11,2,6,18,18,FALSE,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.46153846153846156,0.8461538461538461,7,+ class
Development rate,V8,13,2,11,2,6,18,18,FALSE,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.46153846153846156,0.8461538461538461,8,+ phylum
Development time,V1,25,2,23,3,12,7,7,FALSE,1,1,1,0.48,0.92,1,name
Development time,V2,25,3,22,1,22,15,15,FALSE,0.7857142857142857,0.7857142857142857,0.7857142857142857,0.88,0.88,2,+ definition
Development time,V3,25,1,24,1,24,15,15,FALSE,0.7741935483870968,0.7741935483870968,0.7741935483870968,0.96,0.96,3,+ unit
Development time,V4,25,2,23,1,23,12,12,FALSE,0.7931034482758621,0.7931034482758621,0.7931034482758621,0.92,0.92,4,+ order
Development time,V5,25,3,22,1,22,15,15,FALSE,0.7857142857142857,0.7857142857142857,0.7857142857142857,0.88,0.88,5,+ family
Development time,V6,25,3,22,1,22,15,15,FALSE,0.7857142857142857,0.7857142857142857,0.7857142857142857,0.88,0.88,6,+ stage
Development time,V7,25,4,21,1,21,18,18,FALSE,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.84,0.84,7,+ class
Development time,V8,25,4,21,1,21,18,18,FALSE,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.84,0.84,8,+ phylum
Egg incubation period,V1,9,0,9,1,9,4,4,FALSE,0.9,0.9,0.9,1,1,1,name
Egg incubation period,V2,9,1,8,1,8,9,9,FALSE,1,1,1,0.8888888888888888,0.8888888888888888,2,+ definition
Egg incubation period,V3,9,1,8,1,8,11,11,FALSE,1,1,1,0.8888888888888888,0.8888888888888888,3,+ unit
Egg incubation period,V4,9,1,8,1,8,16,16,FALSE,1,1,1,0.8888888888888888,0.8888888888888888,4,+ order
