OriginalTraitName,OriginalTraitDef,OriginalTraitUnit,noise_category
mortality (larval),duration for 100% mortality (unfed larvae),weeks,Bracketed variant
mortality (nymphal),duration for 50% mortality (unfed nymphs),weeks,Bracketed variant
Development Rate (Egg),1 / time for egg incubation across const temps,days-1,Capitalisation variant
Distance Traveled,Average distance covered per hour while questing,mm,Capitalisation variant
EIP (extrinsic incubation period),day sporozoites first detected in salivary glands,days,Capitalisation variant
Feeding Period,number of days required for nymphs to fully engorge,days,Capitalisation variant
Feeding Period of Nymphs (Days),number of days required for nymphs to fully engorge,days,Capitalisation variant
Mortality Rate,number that survived the 38 hours,count,Capitalisation variant
Mortality Rate,number that survived the 43 hours,count,Capitalisation variant
Mortality Rate,Percent mortality in engorged ticks before moulting,percent,Capitalisation variant
Oviposition Rate,mean number of eggs per female,eggs,Capitalisation variant
Post-reproductive average,period from the end of reproduction until death,days,Capitalisation variant
Pre-Oviposition Period,Pre-oviposition period of ticks held at constant temperature,days,Capitalisation variant
Pre-Oviposition Period in engorged females,Pre-Oviposition Period in engorged females,days-1,Capitalisation variant
Pre-reproductive average,Period from birth until first molt,days,Capitalisation variant
Questing Height,questing height -- Average (across 38 hours and interactor1number of ticks) mm from the lower end of the tube - measured along the length of the tube. Tube is at a 15* incline,mm,Capitalisation variant
Questing Height,questing height -- Average (across 43 hours and interactor1number of ticks) mm from the lower end of the tube - measured along the length of the tube. Tube is at a 15* incline,mm,Capitalisation variant
Questing Time,Mean proportion of time tick seen questing (legs spread more than 50 percent) across the 38 hours,percent,Capitalisation variant
Reproductive average,Period from the adult stage (genital plate appeared and the complete development of the cauda) until the end of reproduction,days,Capitalisation variant
Water loss,Water loss of ticks exposed to dry air for 24 hours,mg/cm2,Capitalisation variant
Water loss,Water loss of dead engorged ticks exposed to dry air at a certain temperature for 30 mins,mg/cm2,Capitalisation variant
Weight loss,Weight loss of ticks exposed to dry air for 24 hours,percent,Capitalisation variant
anabolic rate,mean anabolic rate,uW mg-1,Genuinely idiosyncratic
blood feeding,percent taking one bloodmeal,percent,Genuinely idiosyncratic
