query_trait,ontology,term_id,term_label,term_definition
Body Mass,OBA,OBA:VT0001259,body mass,The mass of a multicellular organism.
Body Mass,OBA,OBA:VT0010482,body fat mass,The mass of a adipose tissue.
Body Mass,OBA,OBA:2045456,body mass to body extent ratio,A compound attribute that is the ratio of body mass to body extent.
Body Mass,OBA,OBA:2045455,body mass to height ratio,A compound attribute that is the ratio of body mass to body height.
Body Mass,OBA,OBA:2030004,total skin mass,The mass of a skin of body.
Body Mass,PATO,PATO:0000125,mass,"For any biological use of PATO, the concept that should be used is 'mass' and not 'weight'. For example, increased weight of an organism."
Body Mass,PATO,PATO:0001019,mass density,A physical quality which inheres in a bearer by virtue of some influence is exerted by the bearer's mass per unit size.
Body Mass,PATO,PATO:0001562,decreased mass,A mass which is lower than normal or average.
Body Mass,PATO,PATO:0001563,increased mass,A mass which is higher than normal or average.
Body Mass,PATO,PATO:0001681,molar mass,A physical quality that inheres in a homogeneous substance containing 6.02 x 1023 atoms or molecules.
Development Rate,OBA,OBA:0002217,embryo development rate,The rate of a embryo development.
Development Rate,OBA,OBA:0003600,artery development rate,The rate of a artery development.
Development Rate,OBA,OBA:0003599,ovarian follicle development rate,The rate of a ovarian follicle development.
Development Rate,OBA,OBA:0004171,lung alveolus development rate,The rate of a lung alveolus development.
Development Rate,OBA,OBA:0005316,mesenchymal cell proliferation involved in lung development rate,The rate of a mesenchymal cell proliferation involved in lung development.
Development Rate,PATO,PATO:0000161,rate,A quality of a single process inhering in a bearer by virtue of the bearer's occurrence per unit time.
Development Rate,PATO,PATO:0000911,decreased rate,A rate which is relatively low.
Development Rate,PATO,PATO:0000912,increased rate,A rate which is relatively high.
Development Rate,PATO,PATO:0001492,growth rate,The rate or speed of the change in size of an individual entity or change in number of a population.
Development Rate,PATO,PATO:0001574,flow rate,A physical quality inhering in a bearer by virtue of the bearer's motion characteristic.
Development Rate (Egg),OBA,OBA:0002217,embryo development rate,The rate of a embryo development.
Development Rate (Egg),OBA,OBA:0003600,artery development rate,The rate of a artery development.
Development Rate (Egg),OBA,OBA:0003599,ovarian follicle development rate,The rate of a ovarian follicle development.
Development Rate (Egg),OBA,OBA:0004171,lung alveolus development rate,The rate of a lung alveolus development.
Development Rate (Egg),OBA,OBA:0005316,mesenchymal cell proliferation involved in lung development rate,The rate of a mesenchymal cell proliferation involved in lung development.
Development Rate (Egg),PATO,PATO:0000161,rate,A quality of a single process inhering in a bearer by virtue of the bearer's occurrence per unit time.
Development Rate (Egg),PATO,PATO:0000911,decreased rate,A rate which is relatively low.
Development Rate (Egg),PATO,PATO:0000912,increased rate,A rate which is relatively high.
Development Rate (Egg),PATO,PATO:0001492,growth rate,The rate or speed of the change in size of an individual entity or change in number of a population.
Development Rate (Egg),PATO,PATO:0001574,flow rate,A physical quality inhering in a bearer by virtue of the bearer's motion characteristic.
Development Rate (Larva),OBA,OBA:0002217,embryo development rate,The rate of a embryo development.
Development Rate (Larva),OBA,OBA:0003600,artery development rate,The rate of a artery development.
Development Rate (Larva),OBA,OBA:0003599,ovarian follicle development rate,The rate of a ovarian follicle development.
Development Rate (Larva),OBA,OBA:0004171,lung alveolus development rate,The rate of a lung alveolus development.
Development Rate (Larva),OBA,OBA:0005316,mesenchymal cell proliferation involved in lung development rate,The rate of a mesenchymal cell proliferation involved in lung development.
Development Rate (Larva),PATO,PATO:0000161,rate,A quality of a single process inhering in a bearer by virtue of the bearer's occurrence per unit time.
Development Rate (Larva),PATO,PATO:0000911,decreased rate,A rate which is relatively low.
Development Rate (Larva),PATO,PATO:0000912,increased rate,A rate which is relatively high.
Development Rate (Larva),PATO,PATO:0001492,growth rate,The rate or speed of the change in size of an individual entity or change in number of a population.
Development Rate (Larva),PATO,PATO:0001574,flow rate,A physical quality inhering in a bearer by virtue of the bearer's motion characteristic.
Development Rate (Nymph),OBA,OBA:0002217,embryo development rate,The rate of a embryo development.
Development Rate (Nymph),OBA,OBA:0003600,artery development rate,The rate of a artery development.
Development Rate (Nymph),OBA,OBA:0003599,ovarian follicle development rate,The rate of a ovarian follicle development.
Development Rate (Nymph),OBA,OBA:0004171,lung alveolus development rate,The rate of a lung alveolus development.
Development Rate (Nymph),OBA,OBA:0005316,mesenchymal cell proliferation involved in lung development rate,The rate of a mesenchymal cell proliferation involved in lung development.
Development Rate (Nymph),PATO,PATO:0000161,rate,A quality of a single process inhering in a bearer by virtue of the bearer's occurrence per unit time.
Development Rate (Nymph),PATO,PATO:0000911,decreased rate,A rate which is relatively low.
Development Rate (Nymph),PATO,PATO:0000912,increased rate,A rate which is relatively high.
Development Rate (Nymph),PATO,PATO:0001492,growth rate,The rate or speed of the change in size of an individual entity or change in number of a population.
Development Rate (Nymph),PATO,PATO:0001574,flow rate,A physical quality inhering in a bearer by virtue of the bearer's motion characteristic.
Development time,OBA,OBA:0002217,embryo development rate,The rate of a embryo development.
Development time,OBA,OBA:0003600,artery development rate,The rate of a artery development.
Development time,OBA,OBA:0004100,blastocyst development morphology,The morphology of a blastocyst development.
Development time,OBA,OBA:0004352,spermatid development occurrence,The occurrence of a spermatid development.
Development time,OBA,OBA:1000796,cloaca development quality,The quality of a cloaca development.
Development time,PATO,PATO:0000165,time,A quality in which events occur in sequence.
Development time,PATO,PATO:0000498,increased duration,A duration quality of a process which is relatively high.
Development time,PATO,PATO:0000499,decreased duration,A duration quality of a process which is relatively low.
