field,position,n_permutations,mean_of_mean_dominant_share,sd_of_mean_dominant_share,mean_of_mean_purity,mean_of_balanced_score,mean_noise_rate
def,1,74,0.501705117114371,0.057512945287987026,0.5540750399448556,0.4743089080394236,0.43301870199917925
def,2,95,0.5486029364235737,0.09343968189157267,0.48948987232573654,0.4679697920736629,0.31090307112684096
def,3,109,0.5158750180463025,0.05503766367418798,0.5508279171533524,0.4680702389741181,0.3361857947421839
def,4,114,0.5063343342614467,0.04779077656332425,0.5907586481590898,0.4902450686766046,0.34309472161966736
def,5,116,0.5050548904850158,0.03598730936191805,0.6083885508487298,0.5040463256564733,0.33431819881816144
def,6,113,0.5052577145764192,0.02550342667518854,0.6206266065944013,0.5213383626728931,0.3430019388401513
family,1,120,0.5073500599186933,0.01919631516755541,0.4943043887724538,0.44014024628661635,0.2996384671005061
family,2,108,0.5036235778099719,0.02905476697874356,0.5768285479213479,0.4902680395984762,0.34341608419699526
family,3,94,0.5189739207087569,0.059182819015085444,0.566217323790694,0.49056806825316784,0.34813310564452854
family,4,95,0.517511546911645,0.07117675517617403,0.5929297891840071,0.5017375948311308,0.3594702591620048
family,5,98,0.5138883176070392,0.073556635543984,0.5982058263533305,0.504031815569731,0.3664172827482403
family,6,106,0.5216498445331381,0.07114908106485372,0.6207807444406,0.517970060337705,0.3683747390823886
name,1,120,0.5634238792014616,0.07695569316867922,0.712700462383222,0.597782286059438,0.3151482284887925
name,2,102,0.5146906342899886,0.04973529911090314,0.6482633546085161,0.5304944817282692,0.3530687763174684
name,3,115,0.49832304290778495,0.04531030392810544,0.6224825441496648,0.5090930218969535,0.36299160614920306
name,4,106,0.4965777946693799,0.03808440047404003,0.5396102586681669,0.4635222831852798,0.3579584987516883
name,5,94,0.5022625598773833,0.037811637652408685,0.4608252323048143,0.42133087412227804,0.35002538422485807
name,6,84,0.4953577469449318,0.04244035342504063,0.3791074838284638,0.3656633203656606,0.33875632682574114
order,1,119,0.5013172178778439,0.02590660580190182,0.5220888943721375,0.4528430342655559,0.31283836745110194
order,2,109,0.5025180207167295,0.037461589155857976,0.5766965806117526,0.48182712803953026,0.35505184182769806
order,3,97,0.5219428479450297,0.0670410881245386,0.5634337084903636,0.4933224670884011,0.3420175772077733
order,4,99,0.5190198848037203,0.06241085421159952,0.5886215839942474,0.5023279442738924,0.35237406604000965
order,5,99,0.5197180204353805,0.06836460204696214,0.5958926070003583,0.5069282366289162,0.36129187756085807
order,6,98,0.5202215886533297,0.0694600018232355,0.5988287528708095,0.5068170696586946,0.3583602638452344
stage,1,88,0.4939875009913568,0.0589529676314545,0.5247679384673066,0.4531349726265691,0.36772825872608955
stage,2,106,0.4928677448122983,0.03664819271078078,0.5591559432289945,0.4735612118469529,0.36440469856341834
stage,3,105,0.5126069866345537,0.053586620201518005,0.5618744178625963,0.48675115086365167,0.3471129015597562
stage,4,103,0.5248241226070202,0.05814276216822223,0.5688723996910338,0.49411715067745166,0.33371943642988017
stage,5,106,0.5254066848222055,0.059442123853869426,0.5950756876098899,0.5052301636257435,0.3334220112143413
stage,6,113,0.5273259282239298,0.06214678734656513,0.6148220852437354,0.515163640050532,0.3338644347609084
unit,1,100,0.5012973736736721,0.05196867528810593,0.6144340602032817,0.5043043033223186,0.39470715835140996
unit,2,101,0.5232764601329668,0.060814822856613215,0.579617402424379,0.49119832678626035,0.34565408818539123
unit,3,101,0.5158729945306006,0.060368371321733116,0.5652836687915442,0.48717118759435957,0.3380296814930951
unit,4,104,0.5184002617451464,0.05824042108368316,0.5562769313969843,0.4858969972960777,0.3308860337059903
unit,5,108,0.5145476118376844,0.05670736029132483,0.5648841891937088,0.4873546799754145,0.3349401462199727
unit,6,107,0.5075498706037329,0.05251646595602626,0.557523276813015,0.48066212744489384,0.334279400733878
