perm_id,order_string,anchor,silhouette,n_clusters,noise_rate,avg_cluster_size,max_cluster_share,ARI_vs_original,degenerate
1,def>family>name>order>stage>unit,,0.2971,20,0.4121,13.55,0.1367,0.5318,FALSE
2,def>family>name>order>unit>stage,,0.2997,19,0.4252,13.95,0.1367,0.5188,FALSE
3,def>family>name>stage>order>unit,,0.3012,20,0.4121,13.55,0.1345,0.5339,FALSE
4,def>family>name>stage>unit>order,,0.2941,20,0.4035,13.75,0.1345,0.5533,FALSE
5,def>family>name>unit>order>stage,,0.2988,21,0.4252,12.62,0.1367,0.5502,FALSE
6,def>family>name>unit>stage>order,,0.2961,20,0.4056,13.7,0.1388,0.5471,FALSE
7,def>family>order>name>stage>unit,,0.3018,19,0.4382,13.63,0.1323,0.487,FALSE
8,def>family>order>name>unit>stage,,0.2955,19,0.4317,13.79,0.1302,0.4974,FALSE
9,def>family>order>stage>name>unit,,0.1313,2,0.0889,210,0.8959,-0.0246,TRUE
10,def>family>order>stage>unit>name,,0.1396,2,0.0781,212.5,0.9046,-0.0232,TRUE
11,def>family>order>unit>name>stage,,0.1311,2,0.0781,212.5,0.9046,-0.0232,TRUE
12,def>family>order>unit>stage>name,,0.1385,2,0.0846,211,0.898,-0.0242,TRUE
13,def>family>stage>name>order>unit,,0.2609,16,0.4469,15.94,0.1106,0.4098,FALSE
14,def>family>stage>name>unit>order,,0.2453,18,0.4837,13.22,0.1041,0.3455,FALSE
15,def>family>stage>order>name>unit,,0.2578,16,0.4469,15.94,0.1041,0.4094,FALSE
16,def>family>stage>order>unit>name,,0.1365,2,0.0716,214,0.9111,-0.0219,TRUE
17,def>family>stage>unit>name>order,,0.1343,2,0.0824,211.5,0.9024,-0.0238,TRUE
18,def>family>stage>unit>order>name,,0.1369,2,0.0889,210,0.8937,-0.0246,TRUE
19,def>family>unit>name>order>stage,,0.2768,17,0.4555,14.76,0.1106,0.4556,FALSE
20,def>family>unit>name>stage>order,,0.1257,2,0.0846,211,0.898,-0.0242,TRUE
21,def>family>unit>order>name>stage,,0.128,2,0.0738,213.5,0.9089,-0.0224,TRUE
22,def>family>unit>order>stage>name,,0.136,2,0.0803,212,0.9024,-0.0236,TRUE
23,def>family>unit>stage>name>order,,0.1344,2,0.0846,211,0.898,-0.0242,TRUE
24,def>family>unit>stage>order>name,,0.1307,2,0.0651,215.5,0.9176,-0.0201,TRUE
25,def>name>family>order>stage>unit,,0.0884,9,0.2148,40.22,0.6334,0.1048,TRUE
26,def>name>family>order>unit>stage,,0.207,14,0.3644,20.93,0.2364,0.4127,FALSE
27,def>name>family>stage>order>unit,,0.2062,14,0.3601,21.07,0.2343,0.415,FALSE
28,def>name>family>stage>unit>order,,0.2064,14,0.3753,20.57,0.2126,0.4264,FALSE
29,def>name>family>unit>order>stage,,0.2175,15,0.3753,19.2,0.2321,0.4103,FALSE
30,def>name>family>unit>stage>order,,0.1849,16,0.423,16.62,0.2191,0.3337,FALSE
31,def>name>order>family>stage>unit,,0.2012,14,0.3644,20.93,0.2256,0.4412,FALSE
32,def>name>order>family>unit>stage,,0.2017,15,0.3492,20,0.2234,0.4164,FALSE
33,def>name>order>stage>family>unit,,0.086,9,0.2148,40.22,0.6269,0.1113,TRUE
34,def>name>order>stage>unit>family,,0.2061,14,0.3818,20.36,0.2148,0.4147,FALSE
35,def>name>order>unit>family>stage,,0.2042,15,0.3601,19.67,0.2299,0.3969,FALSE
36,def>name>order>unit>stage>family,,0.0848,9,0.2213,39.89,0.6247,0.1104,TRUE
37,def>name>stage>family>order>unit,,0.0866,9,0.2321,39.33,0.6269,0.1045,TRUE
38,def>name>stage>family>unit>order,,0.1354,13,0.3709,22.31,0.3601,0.3167,FALSE
39,def>name>stage>order>family>unit,,0.0869,9,0.2278,39.56,0.6182,0.1157,TRUE
40,def>name>stage>order>unit>family,,0.2037,16,0.4534,15.75,0.1996,0.2803,FALSE
41,def>name>stage>unit>family>order,,0.2734,19,0.4859,12.47,0.102,0.3274,FALSE
42,def>name>stage>unit>order>family,,0.2899,20,0.5098,11.3,0.1106,0.319,FALSE
43,def>name>unit>family>order>stage,,0.2113,14,0.3861,20.21,0.2234,0.4174,FALSE
44,def>name>unit>family>stage>order,,0.0873,11,0.2082,33.18,0.6182,0.1053,TRUE
45,def>name>unit>order>family>stage,def_first,0.1819,17,0.4056,16.12,0.2213,0.3529,FALSE
46,def>name>unit>order>stage>family,,0.2686,16,0.4252,16.56,0.115,0.4614,FALSE
47,def>name>unit>stage>family>order,,0.2356,16,0.4729,15.19,0.0998,0.3788,FALSE
48,def>name>unit>stage>order>family,,0.0861,10,0.2148,36.2,0.6269,0.0951,TRUE
49,def>order>family>name>stage>unit,,0.3036,19,0.462,13.05,0.1236,0.4363,FALSE
50,def>order>family>name>unit>stage,,0.2737,19,0.4252,13.95,0.1323,0.5118,FALSE
51,def>order>family>stage>name>unit,,0.1358,2,0.0933,209,0.8937,-0.025,TRUE
52,def>order>family>stage>unit>name,,0.1407,2,0.0868,210.5,0.9002,-0.0243,TRUE
53,def>order>family>unit>name>stage,,0.1314,2,0.0824,211.5,0.9046,-0.0236,TRUE
54,def>order>family>unit>stage>name,,0.137,2,0.0868,210.5,0.9002,-0.0243,TRUE
55,def>order>name>family>stage>unit,,0.2743,21,0.4295,12.52,0.1215,0.4365,FALSE
56,def>order>name>family>unit>stage,,0.2796,19,0.4425,13.53,0.115,0.4449,FALSE
57,def>order>name>stage>family>unit,,0.0801,10,0.1974,37,0.6226,0.1151,TRUE
58,def>order>name>stage>unit>family,,0.3002,19,0.462,13.05,0.1171,0.421,FALSE
59,def>order>name>unit>family>stage,,0.2695,19,0.41,14.32,0.1215,0.4939,FALSE
60,def>order>name>unit>stage>family,,0.2504,18,0.3905,15.61,0.1215,0.5046,FALSE
61,def>order>stage>family>name>unit,,0.2003,17,0.449,14.94,0.0998,0.4002,FALSE
62,def>order>stage>family>unit>name,,0.1375,2,0.0933,209,0.8915,-0.025,TRUE
63,def>order>stage>name>family>unit,,0.1975,16,0.3644,18.31,0.2256,0.4145,FALSE
64,def>order>stage>name>unit>family,,0.1963,15,0.3731,19.27,0.2148,0.4163,FALSE
65,def>order>stage>unit>family>name,,0.1385,2,0.0911,209.5,0.8915,-0.0248,TRUE
66,def>order>stage>unit>name>family,,0.1703,13,0.3753,22.15,0.2126,0.4255,FALSE
67,def>order>unit>family>name>stage,,0.1345,2,0.0954,208.5,0.8915,-0.0252,TRUE
68,def>order>unit>family>stage>name,,0.1396,2,0.0998,207.5,0.8872,-0.0253,TRUE
69,def>order>unit>name>family>stage,,0.2246,17,0.4664,14.47,0.1128,0.4118,FALSE
70,def>order>unit>name>stage>family,,0.2168,17,0.4469,15,0.1106,0.4365,FALSE
71,def>order>unit>stage>family>name,,0.1366,2,0.0824,211.5,0.9002,-0.0239,TRUE
72,def>order>unit>stage>name>family,,0.1346,2,0.1041,206.5,0.8829,-0.0262,TRUE
73,def>stage>family>name>order>unit,,0.2854,19,0.5575,10.74,0.0694,0.2683,FALSE
74,def>stage>family>name>unit>order,,0.2371,16,0.4751,15.12,0.102,0.3326,FALSE
75,def>stage>family>order>name>unit,,0.1338,2,0.0889,210,0.8937,-0.0246,TRUE
76,def>stage>family>order>unit>name,,0.1379,2,0.0651,215.5,0.9176,-0.0201,TRUE
77,def>stage>family>unit>name>order,,0.1354,2,0.0759,213,0.9067,-0.0228,TRUE
78,def>stage>family>unit>order>name,,0.138,2,0.0781,212.5,0.9046,-0.0232,TRUE
79,def>stage>name>family>order>unit,,0.2514,16,0.5119,14.06,0.0976,0.3363,FALSE
80,def>stage>name>family>unit>order,,0.2678,18,0.538,11.83,0.0933,0.3012,FALSE
