analysis_id,perm_id,order_string,trait_category,n_concepts,n_noise,n_clusters_occupied,dominant_n,dominant_cluster_ids,dominant_cluster_tie,dominant_share,non_noise_share,dominant_purity_min,dominant_purity_mean,dominant_purity_max,balanced_score
six_field_720,1,def>family>name>order>stage>unit,Body mass / weight,41,6,3,20,6,FALSE,0.4878048780487805,0.8536585365853658,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.6451612903225806
six_field_720,1,def>family>name>order>stage>unit,Development rate,13,12,1,1,14,FALSE,0.07692307692307693,0.07692307692307693,0.2,0.2,0.2,0.1111111111111111
six_field_720,1,def>family>name>order>stage>unit,Development time,25,18,3,4,14,FALSE,0.16,0.28,0.8,0.8,0.8,0.26666666666666666
six_field_720,1,def>family>name>order>stage>unit,Egg incubation period,9,0,1,9,13,FALSE,1,1,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.9
six_field_720,1,def>family>name>order>stage>unit,Egg-hatching success,13,3,1,10,10,FALSE,0.7692307692307693,0.7692307692307693,1,1,1,0.8695652173913044
six_field_720,1,def>family>name>order>stage>unit,Fecundity,72,9,1,63,9,FALSE,0.875,0.875,1,1,1,0.9333333333333333
six_field_720,1,def>family>name>order>stage>unit,Linear morphometrics,15,15,0,0,NA,FALSE,0,0,NA,NA,NA,NA
six_field_720,1,def>family>name>order>stage>unit,Longevity / lifespan,34,11,2,12,18,FALSE,0.35294117647058826,0.6764705882352942,1,1,1,0.5217391304347826
six_field_720,1,def>family>name>order>stage>unit,Pre-oviposition interval,21,5,2,14,17,FALSE,0.6666666666666666,0.7619047619047619,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.6222222222222222
six_field_720,1,def>family>name>order>stage>unit,Survival proportion,24,8,1,16,11,FALSE,0.6666666666666666,0.6666666666666666,1,1,1,0.8
six_field_720,2,def>family>name>order>unit>stage,Body mass / weight,41,5,3,21,6,FALSE,0.5121951219512195,0.8780487804878049,0.9545454545454546,0.9545454545454546,0.9545454545454546,0.6666666666666667
six_field_720,2,def>family>name>order>unit>stage,Development rate,13,13,0,0,NA,FALSE,0,0,NA,NA,NA,NA
six_field_720,2,def>family>name>order>unit>stage,Development time,25,24,1,1,14,FALSE,0.04,0.04,0.0625,0.0625,0.0625,0.048780487804878044
six_field_720,2,def>family>name>order>unit>stage,Egg incubation period,9,0,1,9,13,FALSE,1,1,1,1,1,1
six_field_720,2,def>family>name>order>unit>stage,Egg-hatching success,13,3,1,10,10,FALSE,0.7692307692307693,0.7692307692307693,1,1,1,0.8695652173913044
