cluster,trait,genus,family,longitude,latitude,loctype,coordtype,temp
41,development time,Acyrthosiphon,Aphididae,126.75,36.5,field,decimal,10
41,fecundity,Acyrthosiphon,Aphididae,126.75,36.5,field,decimal,10
41,longevity,Acyrthosiphon,Aphididae,126.75,36.5,field,decimal,10
41,reproductive period,Acyrthosiphon,Aphididae,126.75,36.5,field,decimal,10
41,survival,Acyrthosiphon,Aphididae,126.75,36.5,field,decimal,10
-1,mortality rate,Aedes,Culicidae,-90.1575,38.625,field,decimal,22
-1,ovipositional period,Paracoccus,Pseudococcidae,-80.477557,25.468722,field,decimal,18
-1,survival,Paracoccus,Pseudococcidae,-80.477557,25.468722,field,decimal,15
-1,development time,Bemisia,Aleyrodidae,39.283333,-6.8,colony,decimal,16
-1,longevity,Bemisia,Aleyrodidae,39.283333,-6.8,colony,decimal,16
35,fecundity rate,Rhopalosiphum,Aphididae,0.61993,41.62064,field,decimal,18
35,mortality,Rhopalosiphum,Aphididae,0.61993,41.62064,field,decimal,18
35,pre-oviposition period,Rhopalosiphum,Aphididae,0.61993,41.62064,field,decimal,18
35,fecundity,Rhopalosiphum,Aphididae,0.61993,41.62064,field,decimal,18
-1,fecundity rate,Sepedon,Sciomyzidae,-76.359722,42.489167,NA,decimal,15
-1,fecundity rate,Tetranychus,Tetranychidae,15.556,-1.44,field,decimal,21
-1,blood feeding frequency,Aedes,Culicidae,-47.843611,24.4875,field,decimal,15
-1,body size,Rhopalosiphum,Aphididae,116.6835,39.5383,field,decimal,23
36,development time,Rhopalosiphum,Aphididae,116.6835,39.5383,field,decimal,23
-1,fecundity,Rhopalosiphum,Aphididae,116.6835,39.5383,field,decimal,23
-1,body size,Culex,Culicidae,-77.7996,40.8781,colony,decimal,16
-1,longevity,Culex,Culicidae,-77.7996,40.8781,colony,decimal,16
-1,ovipositioning,Culex,Culicidae,-77.7996,40.8781,colony,decimal,16
-1,development rate,Tesia,Gelechiidae,NA,NA,NA,NA,9.88
-1,fecundity,Tesia,Gelechiidae,NA,NA,NA,NA,7.95
33,egg viability,Anthonomus,Curculionidae,-34.95,-8.01,colony,decimal,25
33,fecundity,Anthonomus,Curculionidae,-34.95,-8.01,colony,decimal,25
33,fat content,Anthonomus,Curculionidae,-34.95,-8.01,colony,decimal,25
-1,development rate,Myzus,Aphididae,-93.0845,44.73347,field,decimal,5.9
-1,pre-blood meal period,Aedes,Culicidae,55.4778,-21.3419,field,decimal,15
-1,fecundity,Aedes,Culicidae,55.4778,-21.3419,field,decimal,20
-1,gonotrophic cycle,Aedes,Culicidae,55.4778,-21.3419,field,decimal,20
-1,resource consumption rate,Leptinotarsa,Chrysomelidae,-72.579167,42.466667,field,decimal,12
