cluster,n,n_distinct_trait,n_distinct_long,n_distinct_lat,n_distinct_coord,n_distinct_temp
23,17,12,1,1,1,1
3,12,8,5,5,1,7
19,12,7,1,1,1,2
1,11,9,8,8,1,8
11,11,6,1,1,1,2
12,11,7,2,2,1,2
14,10,10,1,1,1,2
25,10,10,1,1,1,1
29,10,3,1,1,1,1
38,10,9,5,5,2,2
5,9,7,2,2,1,5
7,9,9,1,1,1,5
20,9,8,1,1,1,2
22,9,7,2,2,1,2
24,8,7,2,2,1,3
32,8,7,3,3,2,4
37,8,7,1,1,1,2
0,7,7,1,1,1,1
6,7,6,4,4,2,5
17,7,7,1,1,1,2
26,7,7,1,1,1,1
28,7,2,1,1,1,2
30,7,4,1,1,1,1
4,6,6,1,1,1,1
10,6,5,2,2,1,2
13,6,6,1,1,1,2
18,6,5,2,2,1,2
21,6,6,1,1,1,1
34,6,6,1,1,1,2
42,6,5,2,2,2,3
2,5,5,1,1,1,1
8,5,1,1,1,1,4
9,5,5,1,1,1,2
15,5,5,1,1,1,1
16,5,5,1,1,1,2
27,5,5,1,1,1,1
31,5,4,3,3,1,4
33,5,4,2,2,1,2
35,5,5,1,1,1,1
36,5,4,2,2,1,2
39,5,5,2,2,2,3
40,5,5,1,1,1,2
41,5,5,1,1,1,1
