cluster,trait,family,genus,stage,habitat,labfield
39,development time,Aphididae,Acyrthosiphon,juvenile,terrestrial,laboratory
39,fecundity,Aphididae,Acyrthosiphon,adult,terrestrial,laboratory
39,longevity,Aphididae,Acyrthosiphon,adult,terrestrial,laboratory
39,reproductive period,Aphididae,Acyrthosiphon,adult,terrestrial,laboratory
39,survival,Aphididae,Acyrthosiphon,juvenile (not inc egg stage),terrestrial,laboratory
5,mortality rate,Culicidae,Aedes,adult,terrestrial,laboratory
-1,ovipositional period,Pseudococcidae,Paracoccus,adult,terrestrial,laboratory
-1,survival,Pseudococcidae,Paracoccus,juvenile (inc egg stage),terrestrial,laboratory
-1,development time,Aleyrodidae,Bemisia,juvenile,terrestrial,laboratory
-1,longevity,Aleyrodidae,Bemisia,adult,terrestrial,laboratory
35,fecundity rate,Aphididae,Rhopalosiphum,adult,terrestrial,laboratory
35,mortality,Aphididae,Rhopalosiphum,juvenile,terrestrial,laboratory
35,pre-oviposition period,Aphididae,Rhopalosiphum,adult,terrestrial,laboratory
35,fecundity,Aphididae,Rhopalosiphum,adult,terrestrial,laboratory
-1,fecundity rate,Sciomyzidae,Sepedon,adult,terrestrial,laboratory
-1,fecundity rate,Tetranychidae,Tetranychus,adult,terrestrial,laboratory
5,blood feeding frequency,Culicidae,Aedes,adult,terrestrial,laboratory
-1,body size,Aphididae,Rhopalosiphum,adult,terrestrial,laboratory
35,development time,Aphididae,Rhopalosiphum,juvenile,terrestrial,laboratory
35,fecundity,Aphididae,Rhopalosiphum,adult,terrestrial,laboratory
-1,body size,Culicidae,Culex,adult,terrestrial,laboratory
-1,longevity,Culicidae,Culex,adult,terrestrial,laboratory
-1,ovipositioning,Culicidae,Culex,adult,terrestrial,laboratory
-1,development rate,Gelechiidae,Tesia,larval,terrestrial,laboratory
-1,fecundity,Gelechiidae,Tesia,adult,terrestrial,laboratory
26,egg viability,Curculionidae,Anthonomus,adult,terrestrial,laboratory
26,fecundity,Curculionidae,Anthonomus,adult,terrestrial,laboratory
26,fat content,Curculionidae,Anthonomus,adult,terrestrial,laboratory
32,development rate,Aphididae,Myzus,juvenile,terrestrial,laboratory
5,pre-blood meal period,Culicidae,Aedes,adult,terrestrial,laboratory
5,fecundity,Culicidae,Aedes,adult,terrestrial,laboratory
5,gonotrophic cycle,Culicidae,Aedes,adult,terrestrial,laboratory
