cluster,n,n_traits,n_family,n_genus,n_habitat,n_labfield
23,27,19,1,1,1,1
4,21,18,1,1,1,1
9,19,17,1,1,1,2
5,18,11,1,1,1,1
13,16,13,1,1,1,1
40,14,12,1,1,1,1
11,12,7,1,1,1,1
39,12,10,1,2,1,1
7,11,7,1,1,1,1
19,11,6,1,1,1,1
27,11,2,1,1,1,1
10,10,10,1,1,1,2
34,9,8,1,1,1,1
15,8,7,1,1,1,2
30,8,6,1,1,1,1
35,8,6,1,1,1,1
36,8,7,1,1,1,1
38,8,8,1,1,1,1
6,7,6,1,1,1,1
12,7,7,1,1,1,1
17,7,7,1,1,1,1
18,7,5,1,1,1,1
24,7,7,1,1,1,1
25,7,4,1,1,1,1
1,6,6,1,1,1,2
3,6,6,1,1,1,1
8,6,6,1,1,1,1
21,6,5,1,2,1,1
22,6,6,1,1,1,1
26,6,5,1,1,1,1
33,6,6,1,1,1,1
0,5,3,1,1,1,1
2,5,5,1,1,1,1
14,5,1,1,1,1,1
16,5,5,1,1,1,1
20,5,5,1,1,1,1
28,5,1,1,1,1,1
29,5,4,1,2,1,1
31,5,5,1,1,1,1
32,5,5,1,1,1,1
37,5,4,1,1,1,1
