order_id,field_1,field_2,field_3,order_string,combination_key
1,name,def,unit,name>def>unit,name+def+unit
2,def,name,unit,def>name>unit,name+def+unit
3,def,unit,name,def>unit>name,name+def+unit
4,name,unit,def,name>unit>def,name+def+unit
5,unit,def,name,unit>def>name,name+def+unit
6,unit,name,def,unit>name>def,name+def+unit
7,class,def,phylum,class>def>phylum,def+class+phylum
8,class,phylum,def,class>phylum>def,def+class+phylum
9,def,class,phylum,def>class>phylum,def+class+phylum
10,def,phylum,class,def>phylum>class,def+class+phylum
11,phylum,class,def,phylum>class>def,def+class+phylum
12,phylum,def,class,phylum>def>class,def+class+phylum
13,class,def,family,class>def>family,def+family+class
14,class,family,def,class>family>def,def+family+class
15,def,class,family,def>class>family,def+family+class
16,def,family,class,def>family>class,def+family+class
17,family,class,def,family>class>def,def+family+class
18,family,def,class,family>def>class,def+family+class
19,def,family,phylum,def>family>phylum,def+family+phylum
20,def,phylum,family,def>phylum>family,def+family+phylum
21,family,def,phylum,family>def>phylum,def+family+phylum
22,family,phylum,def,family>phylum>def,def+family+phylum
23,phylum,def,family,phylum>def>family,def+family+phylum
24,phylum,family,def,phylum>family>def,def+family+phylum
25,def,family,stage,def>family>stage,def+family+stage
26,def,stage,family,def>stage>family,def+family+stage
27,family,def,stage,family>def>stage,def+family+stage
28,family,stage,def,family>stage>def,def+family+stage
29,stage,def,family,stage>def>family,def+family+stage
30,stage,family,def,stage>family>def,def+family+stage
31,class,def,order,class>def>order,def+order+class
32,class,order,def,class>order>def,def+order+class
33,def,class,order,def>class>order,def+order+class
34,def,order,class,def>order>class,def+order+class
35,order,class,def,order>class>def,def+order+class
36,order,def,class,order>def>class,def+order+class
37,def,family,order,def>family>order,def+order+family
38,def,order,family,def>order>family,def+order+family
39,family,def,order,family>def>order,def+order+family
40,family,order,def,family>order>def,def+order+family
41,order,def,family,order>def>family,def+order+family
42,order,family,def,order>family>def,def+order+family
43,def,order,phylum,def>order>phylum,def+order+phylum
44,def,phylum,order,def>phylum>order,def+order+phylum
45,order,def,phylum,order>def>phylum,def+order+phylum
46,order,phylum,def,order>phylum>def,def+order+phylum
47,phylum,def,order,phylum>def>order,def+order+phylum
48,phylum,order,def,phylum>order>def,def+order+phylum
49,def,order,stage,def>order>stage,def+order+stage
50,def,stage,order,def>stage>order,def+order+stage
51,order,def,stage,order>def>stage,def+order+stage
52,order,stage,def,order>stage>def,def+order+stage
53,stage,def,order,stage>def>order,def+order+stage
54,stage,order,def,stage>order>def,def+order+stage
55,class,def,stage,class>def>stage,def+stage+class
56,class,stage,def,class>stage>def,def+stage+class
57,def,class,stage,def>class>stage,def+stage+class
58,def,stage,class,def>stage>class,def+stage+class
59,stage,class,def,stage>class>def,def+stage+class
60,stage,def,class,stage>def>class,def+stage+class
61,def,phylum,stage,def>phylum>stage,def+stage+phylum
62,def,stage,phylum,def>stage>phylum,def+stage+phylum
63,phylum,def,stage,phylum>def>stage,def+stage+phylum
64,phylum,stage,def,phylum>stage>def,def+stage+phylum
65,stage,def,phylum,stage>def>phylum,def+stage+phylum
66,stage,phylum,def,stage>phylum>def,def+stage+phylum
67,class,def,unit,class>def>unit,def+unit+class
68,class,unit,def,class>unit>def,def+unit+class
69,def,class,unit,def>class>unit,def+unit+class
70,def,unit,class,def>unit>class,def+unit+class
71,unit,class,def,unit>class>def,def+unit+class
72,unit,def,class,unit>def>class,def+unit+class
73,def,family,unit,def>family>unit,def+unit+family
74,def,unit,family,def>unit>family,def+unit+family
75,family,def,unit,family>def>unit,def+unit+family
76,family,unit,def,family>unit>def,def+unit+family
77,unit,def,family,unit>def>family,def+unit+family
78,unit,family,def,unit>family>def,def+unit+family
79,def,order,unit,def>order>unit,def+unit+order
80,def,unit,order,def>unit>order,def+unit+order
81,order,def,unit,order>def>unit,def+unit+order
82,order,unit,def,order>unit>def,def+unit+order
83,unit,def,order,unit>def>order,def+unit+order
84,unit,order,def,unit>order>def,def+unit+order
85,def,phylum,unit,def>phylum>unit,def+unit+phylum
86,def,unit,phylum,def>unit>phylum,def+unit+phylum
87,phylum,def,unit,phylum>def>unit,def+unit+phylum
88,phylum,unit,def,phylum>unit>def,def+unit+phylum
89,unit,def,phylum,unit>def>phylum,def+unit+phylum
90,unit,phylum,def,unit>phylum>def,def+unit+phylum
91,def,stage,unit,def>stage>unit,def+unit+stage
92,def,unit,stage,def>unit>stage,def+unit+stage
93,stage,def,unit,stage>def>unit,def+unit+stage
94,stage,unit,def,stage>unit>def,def+unit+stage
95,unit,def,stage,unit>def>stage,def+unit+stage
