combination_key,n_orders,n_degenerate_orders,mean_dominant_share_across_orders,sd_dominant_share_across_orders,min_dominant_share_across_orders,max_dominant_share_across_orders,mean_dominant_purity_across_orders,min_dominant_purity_across_orders,mean_balanced_score_across_orders,min_balanced_score_across_orders,mean_noise_rate_across_orders,best_order_by_share,best_order_by_balanced_score,eligible,fieldset_share_rank,fieldset_balanced_rank
name+class+phylum,6,0,0.5864670951557609,0.027449819891449692,0.5337045054419517,0.6068624840805615,0.8791857007726572,0.8615612648221344,0.6761199589593148,0.638019805686606,0.2411424439624006,phylum>name>class,name>phylum>class,TRUE,1,1
name+unit+phylum,6,0,0.5658708712378009,0.05410601095379236,0.5208105477337902,0.6555161357851458,0.9679472922407705,0.9553418803418803,0.6661005204415001,0.6284659984338508,0.34417932031814896,unit>phylum>name,unit>phylum>name,TRUE,3,2
name+unit+class,6,0,0.5280871261158205,0.03662142888301413,0.4772729918734223,0.5898444948961449,0.9617026346928308,0.947572525513702,0.6452760854422986,0.6039096360173145,0.2982646420824295,unit>class>name,unit>class>name,TRUE,5,3
name+unit+order,6,0,0.5252883827076797,0.021071048592334024,0.48845481594764234,0.5483831719054101,0.828409513165663,0.747020202020202,0.609105061519724,0.5740889770244001,0.2899493853940709,unit>name>order,order>name>unit,TRUE,6,4
name+order+class,6,0,0.49830132964171703,0.017934292691879704,0.47635634053496323,0.5251929418421527,0.8679996553366118,0.8295382395382396,0.6042954413860633,0.5780655043592461,0.2631959508315257,name>class>order,name>class>order,TRUE,9,5
name+def+class,6,0,0.5828592426755985,0.07273264782308535,0.4675205450535436,0.6952504296277611,0.7282259921960144,0.390892670547843,0.6009435378820634,0.3804884272136819,0.3481561822125814,name>def>class,name>def>class,TRUE,2,6
name+unit+stage,6,0,0.49712925693521104,0.025824367425522323,0.47024570941572374,0.5295762775404096,0.8890489914674697,0.849047619047619,0.599798366478094,0.5775590987959409,0.3626174981923355,unit>name>stage,name>unit>stage,TRUE,10,7
name+order+phylum,6,0,0.4925465952693356,0.023864309762393583,0.46086614445653185,0.5301107397305389,0.8632844344400409,0.8409323133007344,0.5993858120810767,0.5667743685566201,0.28054953000723065,name>phylum>order,name>phylum>order,TRUE,12,8
name+family+class,6,0,0.4815665801863793,0.01527830961524645,0.46598379151535535,0.5082060137375776,0.850311251928899,0.8277777777777777,0.5873546450175354,0.5718315105422032,0.3004338394793926,name>class>family,name>class>family,TRUE,13,9
name+order+family,6,0,0.4715006760469458,0.011944216071539195,0.45392496798594356,0.48181385687483247,0.8675316085416704,0.842130467571644,0.5838477159678528,0.5731261790590775,0.27584960231381056,order>name>family,family>name>order,TRUE,15,10
