order_id,field_1,field_2,field_3,order_string,combination_key,completed,api_prompt_tokens,completed_at
1,name,def,unit,name>def>unit,name+def+unit,TRUE,0,2026-08-16 14:31:27
2,def,name,unit,def>name>unit,name+def+unit,TRUE,10441,2026-08-16 14:42:44
3,def,unit,name,def>unit>name,name+def+unit,TRUE,10441,2026-08-16 14:42:47
4,name,unit,def,name>unit>def,name+def+unit,TRUE,10441,2026-08-16 14:42:50
5,unit,def,name,unit>def>name,name+def+unit,TRUE,10441,2026-08-16 14:42:53
6,unit,name,def,unit>name>def,name+def+unit,TRUE,10441,2026-08-16 14:42:56
7,class,def,phylum,class>def>phylum,def+class+phylum,TRUE,13386,2026-08-16 14:42:59
8,class,phylum,def,class>phylum>def,def+class+phylum,TRUE,13386,2026-08-16 14:43:02
9,def,class,phylum,def>class>phylum,def+class+phylum,TRUE,13386,2026-08-16 14:43:05
10,def,phylum,class,def>phylum>class,def+class+phylum,TRUE,13386,2026-08-16 14:43:08
11,phylum,class,def,phylum>class>def,def+class+phylum,TRUE,13386,2026-08-16 14:43:10
12,phylum,def,class,phylum>def>class,def+class+phylum,TRUE,13386,2026-08-16 14:43:13
13,class,def,family,class>def>family,def+family+class,TRUE,13731,2026-08-16 14:43:16
14,class,family,def,class>family>def,def+family+class,TRUE,13731,2026-08-16 14:43:19
15,def,class,family,def>class>family,def+family+class,TRUE,13731,2026-08-16 14:43:22
16,def,family,class,def>family>class,def+family+class,TRUE,13731,2026-08-16 14:43:25
17,family,class,def,family>class>def,def+family+class,TRUE,13731,2026-08-16 14:43:28
18,family,def,class,family>def>class,def+family+class,TRUE,13731,2026-08-16 14:43:31
19,def,family,phylum,def>family>phylum,def+family+phylum,TRUE,13958,2026-08-16 14:43:34
20,def,phylum,family,def>phylum>family,def+family+phylum,TRUE,13958,2026-08-16 14:43:37
21,family,def,phylum,family>def>phylum,def+family+phylum,TRUE,13958,2026-08-16 14:43:40
22,family,phylum,def,family>phylum>def,def+family+phylum,TRUE,13958,2026-08-16 14:43:43
23,phylum,def,family,phylum>def>family,def+family+phylum,TRUE,13958,2026-08-16 14:43:46
24,phylum,family,def,phylum>family>def,def+family+phylum,TRUE,13958,2026-08-16 14:43:48
25,def,family,stage,def>family>stage,def+family+stage,TRUE,12381,2026-08-16 14:43:51
26,def,stage,family,def>stage>family,def+family+stage,TRUE,12381,2026-08-16 14:43:54
27,family,def,stage,family>def>stage,def+family+stage,TRUE,12381,2026-08-16 14:43:57
28,family,stage,def,family>stage>def,def+family+stage,TRUE,12381,2026-08-16 14:44:01
29,stage,def,family,stage>def>family,def+family+stage,TRUE,12381,2026-08-16 14:44:03
30,stage,family,def,stage>family>def,def+family+stage,TRUE,12381,2026-08-16 14:44:06
31,class,def,order,class>def>order,def+order+class,TRUE,13177,2026-08-16 14:44:09
32,class,order,def,class>order>def,def+order+class,TRUE,13177,2026-08-16 14:44:13
33,def,class,order,def>class>order,def+order+class,TRUE,13177,2026-08-16 14:44:16
34,def,order,class,def>order>class,def+order+class,TRUE,13177,2026-08-16 14:44:19
35,order,class,def,order>class>def,def+order+class,TRUE,13177,2026-08-16 14:44:22
36,order,def,class,order>def>class,def+order+class,TRUE,13177,2026-08-16 14:44:25
