"ID","n_points","AIC_quad","BIC_quad","AIC_cubic","BIC_cubic","AIC_logistic","BIC_logistic","converged_logistic","N0_logistic","Nmax_logistic","rmax_logistic","AIC_gompertz","BIC_gompertz","converged_gompertz","N0_gompertz","Nmax_gompertz","rmax_gompertz","tlag_gompertz","best_AIC","best_BIC","Species","Temp","Medium","PopBio_units"
1,29,13.742746687357,19.2119300073029,-38.2694094967153,-31.4329303467829,-22.353280876431,-16.8840975564852,TRUE,-4.98711487572681,-1.42366845015453,0.0195579589307332,-18.858618205605,-12.0221390556726,TRUE,-5.22588164278019,-1.41530771549292,0.0207201423627251,0,"Cubic","Cubic","Chryseobacterium.balustinum",5,"TSB","OD_595"
2,29,35.7678969015731,41.237080221519,7.5104993620315,14.3469785119639,-107.575651678758,-102.106468358812,TRUE,-3.53878914435718,-0.571234529547982,0.044464994050531,-112.769957033796,-105.933477883864,TRUE,-3.71168961313742,-0.571393663460071,0.0434547708846231,0,"Gompertz","Gompertz","Enterobacter.sp.",5,"TSB","OD_595"
3,29,63.1415757726317,68.6107590925776,30.3142882843947,37.1507674343271,-40.1563682883029,-34.687184968357,TRUE,-5.53498032041307,-0.739474644423766,0.0501490788032668,-64.593749373612,-57.7572702236796,TRUE,-5.20311455935259,-0.741210649133747,0.0633733494898155,18.7450265228323,"Gompertz","Gompertz","Pantoea.agglomerans.1",5,"TSB","OD_595"
4,31,51.1184064779066,56.8543552958472,5.32240527944599,12.4923413018717,7.74702924679153,13.4829780647321,TRUE,-5.47868535671208,-0.808614141908893,0.0386414599168131,11.0753575728564,18.2452935952821,TRUE,-5.10069347068544,-0.808608972590198,0.0457891185516584,22.4190511180059,"Cubic","Cubic","Pantoea.agglomerans.2",5,"TSB","OD_595"
5,27,58.9718575837871,64.1552050478044,60.9397972294618,67.4189815594835,61.8328943435388,67.0162418075561,TRUE,-5.4198719915692,-12.8288495664522,1e-06,67.2204699782348,73.6996543082565,TRUE,-5.81136298053372,-5.84895183965002,1e-06,10.6033443871529,"Quadratic","Quadratic","Bacillus.pumilus",5,"TSB","OD_595"
6,29,-12.222116597221,-6.7529332772751,-53.0574708103083,-46.2209916603759,-33.9098478778452,-28.4406645578993,TRUE,-3.91887346211793,-1.00931483878554,0.0139901597949429,-21.5351731536221,-14.6986940036898,TRUE,-4.13601515878645,-1.0313849522339,0.0143406138195392,0,"Cubic","Cubic","Clavibacter.michiganensis",5,"TSB","OD_595"
7,29,34.9949476251138,40.4641309450597,-26.0613952934489,-19.2249161435165,-46.5747692074562,-41.1055858875104,TRUE,-5.21400350294934,-1.41431226978858,0.0311117848519236,-39.8059309749798,-32.9694518250474,TRUE,-5.41764245017375,-1.40922164882134,0.0329017442424779,0,"Logistic","Logistic","Pseudomonas.fluorescens.1",5,"TSB","OD_595"
8,29,-0.0939223179555864,5.37526100199031,-36.1015536854438,-29.2650745355114,-26.4416746255126,-20.9724913055667,TRUE,-5.6576934780835,-1.86518807369881,0.0185933263969895,-23.971955999346,-17.1354768494137,TRUE,-5.87255017100543,-1.8548252645335,0.0197971764839192,0,"Cubic","Cubic","Pseudomonas.fluorescens.2",5,"TSB","OD_595"
9,29,-37.5077797850621,-32.0385964651162,-65.001834043333,-58.1653548934006,-66.0816344862701,-60.6124511663242,TRUE,-4.00827329692401,-2.13222310693419,0.0122173805852547,-51.0177345379074,-44.181255387975,TRUE,-4.03189115021805,-2.14366130156275,0.00893317999247083,0,"Logistic","Logistic","Acinetobacter.clacoaceticus.1",5,"TSB","OD_595"
10,29,-8.70296733733379,-3.23378401738789,-44.5031053043508,-37.6666261544184,-54.7433761504783,-49.2741928305324,TRUE,-4.62981609662207,-2.28638499798602,0.0170292053679328,-41.9444556609305,-35.1079765109981,TRUE,-4.74323231642061,-2.30075217936971,0.0151301238758709,0,"Logistic","Logistic","Acinetobacter.clacoaceticus.2",5,"TSB","OD_595"
11,29,25.9634524405162,31.4326357604621,-40.3375216398353,-33.5010424899029,-72.3089082340776,-66.8397249141317,TRUE,-5.14581521117664,-1.56606394575008,0.0266414211079803,-56.9024725862741,-50.0659934363418,TRUE,-5.34663734882357,-1.56079017886687,0.0276828385683226,0,"Logistic","Logistic","Stenotrophomonas.maltophilia.1",5,"TSB","OD_595"
12,29,-1.43435445164765,4.03482886829824,-48.8398896495086,-42.0034104995762,-36.2386295114463,-30.7694461915004,TRUE,-4.68600062629454,-1.38498777355918,0.0178201687087113,-24.7785572855334,-17.942078135601,TRUE,-4.92000744038168,-1.39701437184004,0.0189006356209414,0,"Cubic","Cubic","Stenotrophomonas.maltophilia.2",5,"TSB","OD_595"
13,29,4.18748025469242,9.65666357463832,-47.9018973374953,-41.0654181875629,-91.2787170599537,-85.8095337400078,TRUE,-3.3649128098314,-0.960959157853564,0.0214906776219003,-92.1972441935515,-85.3607650436191,TRUE,-3.42802020837461,-0.963225656007746,0.0181602379697449,0,"Gompertz","Logistic","Klebsiella.pneumonia",5,"TSB","OD_595"
14,29,12.6523532835581,18.121536603504,14.5268198056948,21.3632989556272,31.6403150597073,37.1094983796532,TRUE,-4.25999676296223,-4.92326033402535,0.00891718515620445,NA,NA,FALSE,NA,NA,NA,NA,"Quadratic","Quadratic","Dickeya.zeae",5,"TSB","OD_595"
15,28,4.05437267231155,9.38319071301236,4.28308754929224,10.9441101001683,NA,NA,FALSE,NA,NA,NA,-11.0897157661882,-4.42869321531222,TRUE,-5.62811094961979,-3.16957043388122,0.0108312617935497,402.052043018295,"Gompertz","Gompertz","Pectobacterium.carotovorum.subsp..Carotovorum.Pcc2",5,"TSB","OD_595"
