"Predator.lifestage","Type.of.feeding.interaction","n_observations","Slope","Intercept","R.squared","F.statistic","p.value"
"adult","predacious/piscivorous",161,0.64244,-0.644882,0.341154,82.331091,0
"adult","piscivorous",17700,0.267178,0.013833,0.076255,1460.96634,0
"juvenile","piscivorous",3029,0.320305,-1.519963,0.071582,233.38444,0
"juvenile","predacious",2102,0.674633,-3.051573,0.628987,3560.179225,0
"adult","predacious",7931,0.453825,-1.53309,0.146129,1356.946718,0
"larva","predacious",1212,0.352724,-5.294109,0.114147,155.914632,0
"larva / juvenile","predacious",487,0.827242,-4.127294,0.423997,357.009637,0
"adult","planktivorous",158,0.279285,-0.961986,0.224199,45.082529,0
"larva","planktivorous",1025,0.429301,-5.005525,0.087672,98.307585,0
"larva / juvenile","planktivorous",120,0.443334,-5.793352,0.23831,36.918661,0
"larva / juvenile","piscivorous",11,0.769596,-2.874162,0.502262,9.081804,0.01463
"larva / juvenile","insectivorous",32,0.326813,-1.264617,0.125578,4.308363,0.046594
"postlarva/juvenile","predacious",590,0.681167,-5.261406,0.144169,99.051388,0
"postlarva/juvenile","planktivorous",264,0.342333,-5.641775,0.231239,78.808036,0
"postlarva","predacious",72,0.708963,-1.174227,0.109207,8.581706,0.004581
"postlarva","piscivorous",33,0.364977,-1.10411,0.03897,1.257053,0.27082
